Voltage (V);t (sec);freqs;amps
-1,156833e+00;0,0001;680;0,4593559
-2,068705e-01;0,0002;390;0,4778701
 6,832003e-01;0,0003; 10;0,3643191
 1,120509e+00;0,0004;340;0,3516456
 3,561712e+00;0,0005;  0;0,0000000
 1,840832e+00;0,0006;  0;0,0000000
 1,095516e-01;0,0007;  0;0,0000000
-4,643760e-01;0,0008;  0;0,0000000
 1,488345e-01;0,0009;  0;0,0000000
-9,046687e-02;0,0010;  0;0,0000000
-3,892822e-01;0,0011;  0;0,0000000
 1,468176e-01;0,0012;  0;0,0000000
-1,063813e+00;0,0013;  0;0,0000000
 2,478654e-01;0,0014;  0;0,0000000
-1,411016e+00;0,0015;  0;0,0000000
-3,782199e-01;0,0016;  0;0,0000000
 2,240206e-01;0,0017;  0;0,0000000
-5,614353e-02;0,0018;  0;0,0000000
 5,347231e-01;0,0019;  0;0,0000000
-4,450899e-01;0,0020;  0;0,0000000
-2,401671e-02;0,0021;  0;0,0000000
 4,238909e-01;0,0022;  0;0,0000000
-1,450951e+00;0,0023;  0;0,0000000
-2,077517e+00;0,0024;  0;0,0000000
-6,923978e-01;0,0025;  0;0,0000000
-8,250946e-01;0,0026;  0;0,0000000
-8,923443e-01;0,0027;  0;0,0000000
-4,734722e-01;0,0028;  0;0,0000000
-3,443445e-01;0,0029;  0;0,0000000
 1,372088e+00;0,0030;  0;0,0000000
 2,089895e+00;0,0031;  0;0,0000000
 2,138018e+00;0,0032;  0;0,0000000
 8,134509e-01;0,0033;  0;0,0000000
 2,456971e+00;0,0034;  0;0,0000000
 7,999857e-01;0,0035;  0;0,0000000
 2,605081e+00;0,0036;  0;0,0000000
 1,117291e+00;0,0037;  0;0,0000000
-2,045622e-01;0,0038;  0;0,0000000
-8,692114e-01;0,0039;  0;0,0000000
-1,432156e+00;0,0040;  0;0,0000000
-1,480280e+00;0,0041;  0;0,0000000
-2,040577e+00;0,0042;  0;0,0000000
 6,973497e-01;0,0043;  0;0,0000000
 4,502384e-01;0,0044;  0;0,0000000
-5,001128e-01;0,0045;  0;0,0000000
 1,035044e-01;0,0046;  0;0,0000000
-4,549525e-01;0,0047;  0;0,0000000
 2,403605e+00;0,0048;  0;0,0000000
-8,425239e-01;0,0049;  0;0,0000000
-1,543989e-01;0,0050;  0;0,0000000
 7,376300e-02;0,0051;  0;0,0000000
 3,663883e-01;0,0052;  0;0,0000000
-4,705501e-01;0,0053;  0;0,0000000
-2,514222e+00;0,0054;  0;0,0000000
-1,477402e+00;0,0055;  0;0,0000000
 2,929882e-01;0,0056;  0;0,0000000
 1,313569e-01;0,0057;  0;0,0000000
-5,541489e-01;0,0058;  0;0,0000000
 5,175586e-01;0,0059;  0;0,0000000
 3,137227e-02;0,0060;  0;0,0000000
 1,233687e+00;0,0061;  0;0,0000000
-3,816392e-01;0,0062;  0;0,0000000
 1,356618e+00;0,0063;  0;0,0000000
 1,085526e+00;0,0064;  0;0,0000000
 6,676270e-01;0,0065;  0;0,0000000
 3,376715e-01;0,0066;  0;0,0000000
 2,826292e-01;0,0067;  0;0,0000000
-8,856163e-01;0,0068;  0;0,0000000
-5,511303e-01;0,0069;  0;0,0000000
 1,274218e-01;0,0070;  0;0,0000000
 5,593026e-01;0,0071;  0;0,0000000
-3,098647e-01;0,0072;  0;0,0000000
-4,116136e-01;0,0073;  0;0,0000000
-1,006030e+00;0,0074;  0;0,0000000
-1,327799e+00;0,0075;  0;0,0000000
-5,142010e-01;0,0076;  0;0,0000000
 1,652656e+00;0,0077;  0;0,0000000
 1,214383e+00;0,0078;  0;0,0000000
 1,941120e-01;0,0079;  0;0,0000000
-9,849044e-02;0,0080;  0;0,0000000
-2,142179e-01;0,0081;  0;0,0000000
 1,076306e+00;0,0082;  0;0,0000000
-2,954609e-01;0,0083;  0;0,0000000
 1,188186e+00;0,0084;  0;0,0000000
 5,953286e-01;0,0085;  0;0,0000000
 1,329557e+00;0,0086;  0;0,0000000
-7,093371e-01;0,0087;  0;0,0000000
 3,339499e-01;0,0088;  0;0,0000000
-3,963856e-01;0,0089;  0;0,0000000
 1,205365e+00;0,0090;  0;0,0000000
 7,928095e-01;0,0091;  0;0,0000000
 3,782458e-01;0,0092;  0;0,0000000
 2,024679e+00;0,0093;  0;0,0000000
 6,389891e-01;0,0094;  0;0,0000000
 1,205536e+00;0,0095;  0;0,0000000
 7,808837e-01;0,0096;  0;0,0000000
-9,606676e-01;0,0097;  0;0,0000000
-9,232816e-01;0,0098;  0;0,0000000
-3,015328e-01;0,0099;  0;0,0000000
-1,427311e+00;0,0100;  0;0,0000000
 4,169032e-01;0,0101;  0;0,0000000
-1,238320e+00;0,0102;  0;0,0000000
 1,903177e+00;0,0103;  0;0,0000000
 7,406449e-03;0,0104;  0;0,0000000
 2,374410e+00;0,0105;  0;0,0000000
 3,987189e-01;0,0106;  0;0,0000000
-1,372373e-01;0,0107;  0;0,0000000
 7,896619e-01;0,0108;  0;0,0000000
 6,387426e-01;0,0109;  0;0,0000000
-1,278479e+00;0,0110;  0;0,0000000
 1,223832e+00;0,0111;  0;0,0000000
-1,165918e+00;0,0112;  0;0,0000000
 1,217733e-01;0,0113;  0;0,0000000
 1,866436e-01;0,0114;  0;0,0000000
-1,801060e-01;0,0115;  0;0,0000000
-3,663606e-01;0,0116;  0;0,0000000
