Voltage (V);t (sec);freqs;amps
-0,4317736386;0,0001;540;0,1346689
 0,3778346953;0,0002;130;0,3178272
 1,0043026721;0,0003;420;0,4437394
-0,8307135428;0,0004;400;0,3915750
 1,2113144109;0,0005;  0;0,0000000
 1,1376127211;0,0006;  0;0,0000000
 0,4956791437;0,0007;  0;0,0000000
 1,2908829765;0,0008;  0;0,0000000
 0,2962507174;0,0009;  0;0,0000000
-0,3379229503;0,0010;  0;0,0000000
 1,1442710756;0,0011;  0;0,0000000
-0,8087145307;0,0012;  0;0,0000000
 0,5148631341;0,0013;  0;0,0000000
 2,0404961019;0,0014;  0;0,0000000
 1,0776010986;0,0015;  0;0,0000000
 1,7942829914;0,0016;  0;0,0000000
-0,4058544376;0,0017;  0;0,0000000
 0,8124831100;0,0018;  0;0,0000000
-0,7575601939;0,0019;  0;0,0000000
-0,3243164289;0,0020;  0;0,0000000
-0,5702966132;0,0021;  0;0,0000000
 0,7658575569;0,0022;  0;0,0000000
 0,6857860640;0,0023;  0;0,0000000
 0,6803536916;0,0024;  0;0,0000000
 0,1412491954;0,0025;  0;0,0000000
 0,9312138619;0,0026;  0;0,0000000
 1,9260567851;0,0027;  0;0,0000000
-0,2304527942;0,0028;  0;0,0000000
 0,4892258388;0,0029;  0;0,0000000
-0,5627108414;0,0030;  0;0,0000000
 0,3203351342;0,0031;  0;0,0000000
 1,7018493878;0,0032;  0;0,0000000
 1,4139373871;0,0033;  0;0,0000000
 0,6894893825;0,0034;  0;0,0000000
-1,7918774163;0,0035;  0;0,0000000
-0,4326072036;0,0036;  0;0,0000000
-0,5426107643;0,0037;  0;0,0000000
 0,8669454396;0,0038;  0;0,0000000
 0,8181788274;0,0039;  0;0,0000000
-2,9038991343;0,0040;  0;0,0000000
 0,1124095626;0,0041;  0;0,0000000
-0,4279088212;0,0042;  0;0,0000000
 0,9265424319;0,0043;  0;0,0000000
 0,7005404160;0,0044;  0;0,0000000
-1,0940570963;0,0045;  0;0,0000000
-0,6455950866;0,0046;  0;0,0000000
-1,0604892308;0,0047;  0;0,0000000
 1,9507828754;0,0048;  0;0,0000000
-0,1638675384;0,0049;  0;0,0000000
-1,1382876792;0,0050;  0;0,0000000
-0,0799109974;0,0051;  0;0,0000000
-0,0457520703;0,0052;  0;0,0000000
-0,5363529157;0,0053;  0;0,0000000
 0,2377762066;0,0054;  0;0,0000000
 0,8590865477;0,0055;  0;0,0000000
-1,0644961712;0,0056;  0;0,0000000
-0,2407255532;0,0057;  0;0,0000000
-0,5745377990;0,0058;  0;0,0000000
 0,4082811396;0,0059;  0;0,0000000
 1,1792679745;0,0060;  0;0,0000000
-0,4379149663;0,0061;  0;0,0000000
 0,3051822896;0,0062;  0;0,0000000
 0,5503616428;0,0063;  0;0,0000000
-2,3615665211;0,0064;  0;0,0000000
 0,3752010038;0,0065;  0;0,0000000
-0,5780154889;0,0066;  0;0,0000000
-1,5693556431;0,0067;  0;0,0000000
 0,0750264425;0,0068;  0;0,0000000
-0,3816323623;0,0069;  0;0,0000000
-0,6399770549;0,0070;  0;0,0000000
-0,1884451487;0,0071;  0;0,0000000
 0,5846679315;0,0072;  0;0,0000000
-0,5516880702;0,0073;  0;0,0000000
-1,8497799368;0,0074;  0;0,0000000
 1,2862480337;0,0075;  0;0,0000000
-1,5967545266;0,0076;  0;0,0000000
 0,4078873568;0,0077;  0;0,0000000
-0,1082542902;0,0078;  0;0,0000000
 0,6014740860;0,0079;  0;0,0000000
 0,8227386098;0,0080;  0;0,0000000
 0,3253400232;0,0081;  0;0,0000000
 1,2385049180;0,0082;  0;0,0000000
 1,1714596294;0,0083;  0;0,0000000
-0,4835295933;0,0084;  0;0,0000000
-0,4618773959;0,0085;  0;0,0000000
-2,8852876458;0,0086;  0;0,0000000
-0,0885766996;0,0087;  0;0,0000000
-0,6303295757;0,0088;  0;0,0000000
-2,0369727839;0,0089;  0;0,0000000
-0,1106308481;0,0090;  0;0,0000000
-1,2291684486;0,0091;  0;0,0000000
