Voltage (V);t (sec);freqs;amps
-1,312193e+00;0,0001;250;0,2676561
 1,008032e+00;0,0002;540;0,1294018
 1,152545e+00;0,0003;130;0,2443389
-8,458765e-01;0,0004; 40;0,2959726
 9,345990e-01;0,0005;  0;0,0000000
 2,099189e+00;0,0006;  0;0,0000000
-1,174514e+00;0,0007;  0;0,0000000
-1,029188e-01;0,0008;  0;0,0000000
 4,501780e-01;0,0009;  0;0,0000000
-5,972898e-01;0,0010;  0;0,0000000
 4,259855e-01;0,0011;  0;0,0000000
 8,472050e-01;0,0012;  0;0,0000000
-5,969591e-01;0,0013;  0;0,0000000
-5,740574e-01;0,0014;  0;0,0000000
-3,594091e-01;0,0015;  0;0,0000000
-4,293008e-02;0,0016;  0;0,0000000
 1,831499e+00;0,0017;  0;0,0000000
 1,593443e+00;0,0018;  0;0,0000000
 6,421072e-01;0,0019;  0;0,0000000
 1,971673e+00;0,0020;  0;0,0000000
-1,294101e-01;0,0021;  0;0,0000000
 5,696390e-01;0,0022;  0;0,0000000
-9,863430e-02;0,0023;  0;0,0000000
 5,038004e-01;0,0024;  0;0,0000000
 6,621301e-01;0,0025;  0;0,0000000
 1,395434e+00;0,0026;  0;0,0000000
 1,492165e-01;0,0027;  0;0,0000000
-2,405704e-01;0,0028;  0;0,0000000
-3,173446e-01;0,0029;  0;0,0000000
-7,473692e-01;0,0030;  0;0,0000000
-2,859184e-02;0,0031;  0;0,0000000
 1,159489e+00;0,0032;  0;0,0000000
 8,817151e-01;0,0033;  0;0,0000000
 2,482337e-01;0,0034;  0;0,0000000
 1,194346e+00;0,0035;  0;0,0000000
-2,851689e-01;0,0036;  0;0,0000000
 8,773919e-01;0,0037;  0;0,0000000
-8,926018e-01;0,0038;  0;0,0000000
 1,113339e-01;0,0039;  0;0,0000000
-2,860905e-01;0,0040;  0;0,0000000
-2,329557e+00;0,0041;  0;0,0000000
 4,823168e-01;0,0042;  0;0,0000000
 1,658997e+00;0,0043;  0;0,0000000
 1,531874e+00;0,0044;  0;0,0000000
 6,855152e-01;0,0045;  0;0,0000000
 7,799712e-01;0,0046;  0;0,0000000
 2,229353e-01;0,0047;  0;0,0000000
-8,449623e-01;0,0048;  0;0,0000000
-1,366720e+00;0,0049;  0;0,0000000
 1,283434e+00;0,0050;  0;0,0000000
-1,508272e+00;0,0051;  0;0,0000000
 5,189838e-01;0,0052;  0;0,0000000
-7,091502e-01;0,0053;  0;0,0000000
 3,547533e-01;0,0054;  0;0,0000000
 1,707544e+00;0,0055;  0;0,0000000
 8,644564e-01;0,0056;  0;0,0000000
 8,559590e-01;0,0057;  0;0,0000000
 3,011769e-01;0,0058;  0;0,0000000
 1,383935e+00;0,0059;  0;0,0000000
 1,708575e-01;0,0060;  0;0,0000000
-5,836529e-01;0,0061;  0;0,0000000
 1,389410e+00;0,0062;  0;0,0000000
-2,651095e-01;0,0063;  0;0,0000000
-8,814339e-01;0,0064;  0;0,0000000
 1,769995e-01;0,0065;  0;0,0000000
-7,264128e-02;0,0066;  0;0,0000000
 3,007374e-02;0,0067;  0;0,0000000
 1,032771e-02;0,0068;  0;0,0000000
-1,519324e-01;0,0069;  0;0,0000000
 4,284145e-02;0,0070;  0;0,0000000
 5,558745e-01;0,0071;  0;0,0000000
-7,699303e-01;0,0072;  0;0,0000000
-9,345494e-01;0,0073;  0;0,0000000
 5,473784e-01;0,0074;  0;0,0000000
-4,185473e-01;0,0075;  0;0,0000000
-9,773953e-01;0,0076;  0;0,0000000
 9,139787e-01;0,0077;  0;0,0000000
-1,274304e+00;0,0078;  0;0,0000000
 5,101593e-01;0,0079;  0;0,0000000
 9,389048e-01;0,0080;  0;0,0000000
 2,023620e+00;0,0081;  0;0,0000000
-5,680781e-01;0,0082;  0;0,0000000
 1,738476e-01;0,0083;  0;0,0000000
 1,326254e+00;0,0084;  0;0,0000000
 1,303503e-01;0,0085;  0;0,0000000
-5,247920e-01;0,0086;  0;0,0000000
 6,338404e-01;0,0087;  0;0,0000000
 1,013471e+00;0,0088;  0;0,0000000
-1,301724e+00;0,0089;  0;0,0000000
 7,247213e-01;0,0090;  0;0,0000000
 2,247685e+00;0,0091;  0;0,0000000
 8,438410e-01;0,0092;  0;0,0000000
 1,087012e+00;0,0093;  0;0,0000000
-3,048795e-01;0,0094;  0;0,0000000
 5,836776e-01;0,0095;  0;0,0000000
 2,194664e+00;0,0096;  0;0,0000000
 1,432015e-01;0,0097;  0;0,0000000
-1,303987e+00;0,0098;  0;0,0000000
 3,756599e-01;0,0099;  0;0,0000000
 1,648217e+00;0,0100;  0;0,0000000
 8,019386e-01;0,0101;  0;0,0000000
 4,881274e-01;0,0102;  0;0,0000000
-1,073972e+00;0,0103;  0;0,0000000
