Voltage (V);t (sec);freqs;amps
 1,6570237166;0,0001;330;0,1573579
 0,7621961390;0,0002; 70;0,4965960
 0,7216675379;0,0003;600;0,2845454
 3,7227706806;0,0004;540;0,4333981
 1,3943185532;0,0005;  0;0,0000000
 1,4285139490;0,0006;  0;0,0000000
 0,7273282824;0,0007;  0;0,0000000
 1,5419266072;0,0008;  0;0,0000000
-0,4932295512;0,0009;  0;0,0000000
-0,3355716912;0,0010;  0;0,0000000
 2,3281887060;0,0011;  0;0,0000000
 1,5219025065;0,0012;  0;0,0000000
-0,7141043390;0,0013;  0;0,0000000
 0,0975116303;0,0014;  0;0,0000000
-0,2499230162;0,0015;  0;0,0000000
 0,3611891687;0,0016;  0;0,0000000
 2,3267933652;0,0017;  0;0,0000000
 0,7138719530;0,0018;  0;0,0000000
-0,4002018492;0,0019;  0;0,0000000
 2,4839480008;0,0020;  0;0,0000000
 0,4162414655;0,0021;  0;0,0000000
 0,4587385629;0,0022;  0;0,0000000
 0,9658525276;0,0023;  0;0,0000000
-0,0272576073;0,0024;  0;0,0000000
 0,7242811234;0,0025;  0;0,0000000
 1,9972832762;0,0026;  0;0,0000000
-0,1960258273;0,0027;  0;0,0000000
 0,0937661568;0,0028;  0;0,0000000
 1,1289801693;0,0029;  0;0,0000000
-1,5815221537;0,0030;  0;0,0000000
-0,0461732750;0,0031;  0;0,0000000
-0,3633040835;0,0032;  0;0,0000000
 0,1480518541;0,0033;  0;0,0000000
 0,8725632384;0,0034;  0;0,0000000
 0,3001739647;0,0035;  0;0,0000000
 2,2361206651;0,0036;  0;0,0000000
-0,3364667631;0,0037;  0;0,0000000
 0,3707533241;0,0038;  0;0,0000000
 1,5049804521;0,0039;  0;0,0000000
 1,5911693918;0,0040;  0;0,0000000
 3,1475189468;0,0041;  0;0,0000000
-1,2010988129;0,0042;  0;0,0000000
 0,3909504506;0,0043;  0;0,0000000
 0,0857875880;0,0044;  0;0,0000000
 0,6411275298;0,0045;  0;0,0000000
-0,0744811896;0,0046;  0;0,0000000
-0,6352338742;0,0047;  0;0,0000000
 0,7286789133;0,0048;  0;0,0000000
-1,6569613257;0,0049;  0;0,0000000
 0,0547368023;0,0050;  0;0,0000000
 0,7840643829;0,0051;  0;0,0000000
-0,0051429586;0,0052;  0;0,0000000
-0,6339184545;0,0053;  0;0,0000000
 0,9897472498;0,0054;  0;0,0000000
 1,1288577072;0,0055;  0;0,0000000
-0,0866784955;0,0056;  0;0,0000000
 2,0683713721;0,0057;  0;0,0000000
 0,2268555673;0,0058;  0;0,0000000
 2,0836264307;0,0059;  0;0,0000000
 0,1151664280;0,0060;  0;0,0000000
-1,1527439251;0,0061;  0;0,0000000
 1,7314168881;0,0062;  0;0,0000000
 0,4813587769;0,0063;  0;0,0000000
-1,0385191478;0,0064;  0;0,0000000
 1,4545549953;0,0065;  0;0,0000000
-0,1827576568;0,0066;  0;0,0000000
 0,3899691098;0,0067;  0;0,0000000
-1,8896839915;0,0068;  0;0,0000000
-0,4915954860;0,0069;  0;0,0000000
 1,7544720062;0,0070;  0;0,0000000
 0,5710724563;0,0071;  0;0,0000000
-0,1323229711;0,0072;  0;0,0000000
 0,2099623631;0,0073;  0;0,0000000
 0,5070318151;0,0074;  0;0,0000000
 0,6229999512;0,0075;  0;0,0000000
-2,1867281212;0,0076;  0;0,0000000
-0,1665347327;0,0077;  0;0,0000000
 0,2227645754;0,0078;  0;0,0000000
 0,1431805885;0,0079;  0;0,0000000
 0,1864473697;0,0080;  0;0,0000000
-0,5550203457;0,0081;  0;0,0000000
 0,9203398959;0,0082;  0;0,0000000
 0,4318094343;0,0083;  0;0,0000000
-0,1782957897;0,0084;  0;0,0000000
-1,3259607379;0,0085;  0;0,0000000
 1,1351705728;0,0086;  0;0,0000000
-1,0549180346;0,0087;  0;0,0000000
-1,8247677283;0,0088;  0;0,0000000
 0,7726677981;0,0089;  0;0,0000000
-1,2373663047;0,0090;  0;0,0000000
 1,8584121201;0,0091;  0;0,0000000
-1,0028403268;0,0092;  0;0,0000000
 0,8167724598;0,0093;  0;0,0000000
-0,7415343017;0,0094;  0;0,0000000
 1,6182924954;0,0095;  0;0,0000000
-1,2723395897;0,0096;  0;0,0000000
 1,1612102560;0,0097;  0;0,0000000
-0,1305231042;0,0098;  0;0,0000000
-0,4218559195;0,0099;  0;0,0000000
-1,0891526692;0,0100;  0;0,0000000
 0,5464068807;0,0101;  0;0,0000000
 0,4964181010;0,0102;  0;0,0000000
 1,4486086526;0,0103;  0;0,0000000
-0,0974793003;0,0104;  0;0,0000000
-1,3902550421;0,0105;  0;0,0000000
 0,0410174420;0,0106;  0;0,0000000
-2,1533886915;0,0107;  0;0,0000000
-2,8223989723;0,0108;  0;0,0000000
-0,4166371121;0,0109;  0;0,0000000
-1,0386687984;0,0110;  0;0,0000000
