Voltage (V);t (sec);freqs;amps
-1,1429085510;0,0001;870;0,3861601
 1,8437263350;0,0002;590;0,1256890
 1,4546104376;0,0003;330;0,1167369
-1,5632431310;0,0004;  0;0,0000000
 0,7240954247;0,0005;  0;0,0000000
-0,5880469513;0,0006;  0;0,0000000
 2,3758513210;0,0007;  0;0,0000000
-0,6639623611;0,0008;  0;0,0000000
 0,4537257165;0,0009;  0;0,0000000
-2,1742940915;0,0010;  0;0,0000000
 1,1583630672;0,0011;  0;0,0000000
 0,9923684941;0,0012;  0;0,0000000
 0,5220824254;0,0013;  0;0,0000000
 0,2799935065;0,0014;  0;0,0000000
-0,4269320640;0,0015;  0;0,0000000
 0,3591769514;0,0016;  0;0,0000000
 0,8284739016;0,0017;  0;0,0000000
-1,1459162815;0,0018;  0;0,0000000
-0,8282949691;0,0019;  0;0,0000000
-1,6922831682;0,0020;  0;0,0000000
-0,2658077050;0,0021;  0;0,0000000
-1,1233715357;0,0022;  0;0,0000000
-0,0850972691;0,0023;  0;0,0000000
 1,3024124851;0,0024;  0;0,0000000
 0,4417893952;0,0025;  0;0,0000000
-0,3551609764;0,0026;  0;0,0000000
-1,0476796640;0,0027;  0;0,0000000
-0,0445123370;0,0028;  0;0,0000000
 0,3982098006;0,0029;  0;0,0000000
-1,0115694014;0,0030;  0;0,0000000
-0,0257614624;0,0031;  0;0,0000000
 0,7140077502;0,0032;  0;0,0000000
-0,8149109782;0,0033;  0;0,0000000
-0,8824037518;0,0034;  0;0,0000000
 0,1090365517;0,0035;  0;0,0000000
-0,3063825886;0,0036;  0;0,0000000
 0,3182211059;0,0037;  0;0,0000000
 0,1712883328;0,0038;  0;0,0000000
 0,4144944755;0,0039;  0;0,0000000
-1,2477094144;0,0040;  0;0,0000000
 1,3360212317;0,0041;  0;0,0000000
-1,0455395276;0,0042;  0;0,0000000
-0,1107576412;0,0043;  0;0,0000000
-1,8059675886;0,0044;  0;0,0000000
 0,4579984380;0,0045;  0;0,0000000
 0,5686311533;0,0046;  0;0,0000000
 0,7582720184;0,0047;  0;0,0000000
 0,2229249413;0,0048;  0;0,0000000
 0,6354376937;0,0049;  0;0,0000000
 0,5671735220;0,0050;  0;0,0000000
-0,8863517319;0,0051;  0;0,0000000
-0,2658210409;0,0052;  0;0,0000000
-0,2039604316;0,0053;  0;0,0000000
 0,3856967991;0,0054;  0;0,0000000
-0,4511060408;0,0055;  0;0,0000000
-0,3802323071;0,0056;  0;0,0000000
 0,5085012643;0,0057;  0;0,0000000
-2,0639782547;0,0058;  0;0,0000000
 1,0332012590;0,0059;  0;0,0000000
 1,0730755653;0,0060;  0;0,0000000
 1,8237648968;0,0061;  0;0,0000000
 2,6782527062;0,0062;  0;0,0000000
 0,1387517006;0,0063;  0;0,0000000
 0,1747935927;0,0064;  0;0,0000000
 0,3016543364;0,0065;  0;0,0000000
-0,4874299656;0,0066;  0;0,0000000
 0,0941336916;0,0067;  0;0,0000000
-0,1227682512;0,0068;  0;0,0000000
 0,5516989716;0,0069;  0;0,0000000
 1,6252405785;0,0070;  0;0,0000000
 1,6310152224;0,0071;  0;0,0000000
 0,1048339405;0,0072;  0;0,0000000
 0,3496263362;0,0073;  0;0,0000000
 1,3591057321;0,0074;  0;0,0000000
 2,2354774929;0,0075;  0;0,0000000
-3,1099688735;0,0076;  0;0,0000000
-0,9600890787;0,0077;  0;0,0000000
 0,1197384942;0,0078;  0;0,0000000
-0,2667102354;0,0079;  0;0,0000000
-1,5272656322;0,0080;  0;0,0000000
-1,5329365412;0,0081;  0;0,0000000
 0,2595210967;0,0082;  0;0,0000000
-0,2662848557;0,0083;  0;0,0000000
-0,2224855013;0,0084;  0;0,0000000
 0,0949726484;0,0085;  0;0,0000000
 0,5569895409;0,0086;  0;0,0000000
-0,8464499625;0,0087;  0;0,0000000
 1,4430904587;0,0088;  0;0,0000000
-0,3971921521;0,0089;  0;0,0000000
 0,4733219789;0,0090;  0;0,0000000
 0,6586553922;0,0091;  0;0,0000000
 1,6009457402;0,0092;  0;0,0000000
 0,1211388177;0,0093;  0;0,0000000
 0,7381661409;0,0094;  0;0,0000000
-1,2037172566;0,0095;  0;0,0000000
 0,2934891964;0,0096;  0;0,0000000
-0,0818066884;0,0097;  0;0,0000000
-3,4199599292;0,0098;  0;0,0000000
-1,0983753687;0,0099;  0;0,0000000
 0,7311580445;0,0100;  0;0,0000000
-2,1892345488;0,0101;  0;0,0000000
 0,8767017482;0,0102;  0;0,0000000
-0,1591151908;0,0103;  0;0,0000000
-0,1023580132;0,0104;  0;0,0000000
