Voltage (V);t (sec);freqs;amps
 1,2540544145;0,0001;370;0,3417400
 1,2870941435;0,0002;990;0,1326980
 1,6671469001;0,0003;800;0,3035848
 0,8569055107;0,0004;600;0,3670724
 0,2740617147;0,0005;  0;0,0000000
 1,2694615793;0,0006;  0;0,0000000
-0,2092933010;0,0007;  0;0,0000000
 0,1103020503;0,0008;  0;0,0000000
-0,9553684992;0,0009;  0;0,0000000
 1,1248766633;0,0010;  0;0,0000000
-2,6369603961;0,0011;  0;0,0000000
 0,6212467638;0,0012;  0;0,0000000
-1,2346444360;0,0013;  0;0,0000000
 1,3522846398;0,0014;  0;0,0000000
 0,4502874299;0,0015;  0;0,0000000
 1,3730785020;0,0016;  0;0,0000000
 0,0360544828;0,0017;  0;0,0000000
 0,2440746558;0,0018;  0;0,0000000
-1,0057787959;0,0019;  0;0,0000000
 0,4057810555;0,0020;  0;0,0000000
 0,5414476096;0,0021;  0;0,0000000
 0,2820017197;0,0022;  0;0,0000000
-0,9930566280;0,0023;  0;0,0000000
-1,6149376262;0,0024;  0;0,0000000
 0,1521426825;0,0025;  0;0,0000000
 1,0754873132;0,0026;  0;0,0000000
 0,1701980495;0,0027;  0;0,0000000
-0,6604570897;0,0028;  0;0,0000000
 2,2836831034;0,0029;  0;0,0000000
 0,3583755539;0,0030;  0;0,0000000
-1,5678560083;0,0031;  0;0,0000000
 1,6376833902;0,0032;  0;0,0000000
-1,0670837754;0,0033;  0;0,0000000
 1,2801090934;0,0034;  0;0,0000000
-0,3075648638;0,0035;  0;0,0000000
 0,3509267865;0,0036;  0;0,0000000
 1,1355485752;0,0037;  0;0,0000000
 0,5587752003;0,0038;  0;0,0000000
 0,2057837522;0,0039;  0;0,0000000
-1,0468337268;0,0040;  0;0,0000000
-0,7794066078;0,0041;  0;0,0000000
 1,5016139989;0,0042;  0;0,0000000
 0,3848907909;0,0043;  0;0,0000000
-0,0539796997;0,0044;  0;0,0000000
 0,2589438495;0,0045;  0;0,0000000
-2,2694012798;0,0046;  0;0,0000000
 1,1361940101;0,0047;  0;0,0000000
-0,3415192015;0,0048;  0;0,0000000
-1,3957769776;0,0049;  0;0,0000000
-1,0396336306;0,0050;  0;0,0000000
 0,9821386566;0,0051;  0;0,0000000
-0,1902488302;0,0052;  0;0,0000000
 1,2669515016;0,0053;  0;0,0000000
 1,4520373152;0,0054;  0;0,0000000
 0,3681942097;0,0055;  0;0,0000000
 1,3535502408;0,0056;  0;0,0000000
 0,5224375283;0,0057;  0;0,0000000
 0,2848250830;0,0058;  0;0,0000000
 0,0480605324;0,0059;  0;0,0000000
 0,1863854356;0,0060;  0;0,0000000
-0,6220571210;0,0061;  0;0,0000000
 0,5422072099;0,0062;  0;0,0000000
 1,6402600291;0,0063;  0;0,0000000
 0,5305389484;0,0064;  0;0,0000000
