Voltage (V);t (sec);freqs;amps
-2,292401e+00;0,0001;200;0,2972739
 8,264506e-01;0,0002;440;0,3313742
 1,362877e+00;0,0003;620;0,1021996
 8,783277e-01;0,0004;140;0,1952402
 1,479264e+00;0,0005;  0;0,0000000
 3,747909e-01;0,0006;  0;0,0000000
 2,612070e-01;0,0007;  0;0,0000000
 3,866076e-01;0,0008;  0;0,0000000
 1,680551e+00;0,0009;  0;0,0000000
-8,903106e-01;0,0010;  0;0,0000000
 2,807744e-01;0,0011;  0;0,0000000
-9,575554e-01;0,0012;  0;0,0000000
-6,029162e-01;0,0013;  0;0,0000000
-1,194455e+00;0,0014;  0;0,0000000
-2,432868e-01;0,0015;  0;0,0000000
 1,401581e+00;0,0016;  0;0,0000000
-5,632652e-01;0,0017;  0;0,0000000
-3,790389e-01;0,0018;  0;0,0000000
-1,795931e+00;0,0019;  0;0,0000000
 3,792588e-01;0,0020;  0;0,0000000
 8,127021e-01;0,0021;  0;0,0000000
-5,916614e-01;0,0022;  0;0,0000000
-1,326583e+00;0,0023;  0;0,0000000
 6,757067e-01;0,0024;  0;0,0000000
-1,630902e-01;0,0025;  0;0,0000000
 2,052367e-01;0,0026;  0;0,0000000
 1,846047e+00;0,0027;  0;0,0000000
-2,333874e+00;0,0028;  0;0,0000000
 3,439024e-01;0,0029;  0;0,0000000
-1,440229e-02;0,0030;  0;0,0000000
 7,246250e-01;0,0031;  0;0,0000000
-1,140837e+00;0,0032;  0;0,0000000
-2,108979e-01;0,0033;  0;0,0000000
-1,242196e+00;0,0034;  0;0,0000000
-1,061525e+00;0,0035;  0;0,0000000
-1,867509e-01;0,0036;  0;0,0000000
-8,453457e-01;0,0037;  0;0,0000000
-4,037944e-01;0,0038;  0;0,0000000
-6,206975e-01;0,0039;  0;0,0000000
-2,907553e+00;0,0040;  0;0,0000000
-1,731141e+00;0,0041;  0;0,0000000
 8,485439e-01;0,0042;  0;0,0000000
-1,304085e+00;0,0043;  0;0,0000000
