Voltage (V);t (sec);freqs;amps
-4,177899e-01;0,0001;220;0,3848455
 1,962025e+00;0,0002; 70;0,4125144
-7,367315e-01;0,0003;490;0,4252068
 1,548717e+00;0,0004;  0;0,0000000
-7,774975e-01;0,0005;  0;0,0000000
-8,651916e-02;0,0006;  0;0,0000000
 1,314187e+00;0,0007;  0;0,0000000
 8,164286e-01;0,0008;  0;0,0000000
 4,712148e-01;0,0009;  0;0,0000000
 1,293406e+00;0,0010;  0;0,0000000
-8,155932e-01;0,0011;  0;0,0000000
-2,374417e+00;0,0012;  0;0,0000000
-4,893016e-01;0,0013;  0;0,0000000
 1,785121e+00;0,0014;  0;0,0000000
 9,047140e-02;0,0015;  0;0,0000000
-4,888756e-02;0,0016;  0;0,0000000
-1,243988e+00;0,0017;  0;0,0000000
 9,809460e-02;0,0018;  0;0,0000000
-9,761248e-01;0,0019;  0;0,0000000
-2,129008e+00;0,0020;  0;0,0000000
-6,089168e-01;0,0021;  0;0,0000000
 9,270362e-01;0,0022;  0;0,0000000
 2,489548e+00;0,0023;  0;0,0000000
-7,935195e-02;0,0024;  0;0,0000000
-5,423767e-01;0,0025;  0;0,0000000
-1,362399e-01;0,0026;  0;0,0000000
-1,420971e+00;0,0027;  0;0,0000000
 1,012713e+00;0,0028;  0;0,0000000
 8,574547e-01;0,0029;  0;0,0000000
 9,378724e-02;0,0030;  0;0,0000000
-5,229688e-01;0,0031;  0;0,0000000
-4,743959e-02;0,0032;  0;0,0000000
-1,991244e-01;0,0033;  0;0,0000000
 3,965832e-01;0,0034;  0;0,0000000
-1,662111e+00;0,0035;  0;0,0000000
 2,857582e-01;0,0036;  0;0,0000000
-1,028697e-01;0,0037;  0;0,0000000
-1,536346e+00;0,0038;  0;0,0000000
-8,809522e-01;0,0039;  0;0,0000000
 9,816692e-01;0,0040;  0;0,0000000
 1,743105e+00;0,0041;  0;0,0000000
 1,513894e+00;0,0042;  0;0,0000000
-4,593380e-01;0,0043;  0;0,0000000
 3,026329e-01;0,0044;  0;0,0000000
 5,000834e-01;0,0045;  0;0,0000000
 4,963411e-01;0,0046;  0;0,0000000
 6,300244e-01;0,0047;  0;0,0000000
 1,439482e+00;0,0048;  0;0,0000000
 4,146824e-01;0,0049;  0;0,0000000
-7,999463e-01;0,0050;  0;0,0000000
 2,192783e+00;0,0051;  0;0,0000000
 5,387095e-01;0,0052;  0;0,0000000
 4,437581e-02;0,0053;  0;0,0000000
-1,775961e+00;0,0054;  0;0,0000000
-1,147969e+00;0,0055;  0;0,0000000
 6,071665e-01;0,0056;  0;0,0000000
-8,931151e-01;0,0057;  0;0,0000000
 2,757431e-01;0,0058;  0;0,0000000
 2,299831e+00;0,0059;  0;0,0000000
 9,397631e-01;0,0060;  0;0,0000000
 1,703782e+00;0,0061;  0;0,0000000
 5,404395e-01;0,0062;  0;0,0000000
-3,986213e-01;0,0063;  0;0,0000000
 2,689460e-01;0,0064;  0;0,0000000
 4,875978e-01;0,0065;  0;0,0000000
-1,834788e-02;0,0066;  0;0,0000000
 1,521235e-01;0,0067;  0;0,0000000
 7,657643e-01;0,0068;  0;0,0000000
 2,032107e+00;0,0069;  0;0,0000000
-4,418530e-01;0,0070;  0;0,0000000
 4,083532e-01;0,0071;  0;0,0000000
-1,472983e+00;0,0072;  0;0,0000000
-9,765212e-01;0,0073;  0;0,0000000
-2,777826e-01;0,0074;  0;0,0000000
 4,023081e-01;0,0075;  0;0,0000000
-1,401749e+00;0,0076;  0;0,0000000
-5,512441e-01;0,0077;  0;0,0000000
-1,108199e+00;0,0078;  0;0,0000000
 3,148763e-01;0,0079;  0;0,0000000
-9,299198e-01;0,0080;  0;0,0000000
-1,378805e+00;0,0081;  0;0,0000000
-7,995187e-01;0,0082;  0;0,0000000
-1,405642e-01;0,0083;  0;0,0000000
