Voltage (V);t (sec);freqs;amps
 0,5983432240;0,0001;820;0,1309062
 0,9336435770;0,0002;290;0,3515382
 0,5715691500;0,0003;460;0,1147158
 0,6730035466;0,0004;920;0,4714060
 1,3170777777;0,0005;  0;0,0000000
 1,3714468942;0,0006;  0;0,0000000
-0,8518561301;0,0007;  0;0,0000000
-0,7710236436;0,0008;  0;0,0000000
 1,7358222229;0,0009;  0;0,0000000
 0,0044579020;0,0010;  0;0,0000000
 0,0676292063;0,0011;  0;0,0000000
-0,1250888400;0,0012;  0;0,0000000
-0,6974925591;0,0013;  0;0,0000000
-0,3925398218;0,0014;  0;0,0000000
-0,2305732005;0,0015;  0;0,0000000
 0,5887462833;0,0016;  0;0,0000000
-0,7364688419;0,0017;  0;0,0000000
-1,0069376376;0,0018;  0;0,0000000
-0,1197778959;0,0019;  0;0,0000000
-0,4776543897;0,0020;  0;0,0000000
-2,3266158706;0,0021;  0;0,0000000
-1,3624124261;0,0022;  0;0,0000000
-1,1172104321;0,0023;  0;0,0000000
 0,1692605670;0,0024;  0;0,0000000
-2,1380631539;0,0025;  0;0,0000000
-0,0397390555;0,0026;  0;0,0000000
 0,5573359999;0,0027;  0;0,0000000
-0,1328108155;0,0028;  0;0,0000000
 0,4707147830;0,0029;  0;0,0000000
-0,2921103640;0,0030;  0;0,0000000
-0,0739880822;0,0031;  0;0,0000000
 0,1831182504;0,0032;  0;0,0000000
-0,7569017747;0,0033;  0;0,0000000
-0,2233037122;0,0034;  0;0,0000000
-0,9970853090;0,0035;  0;0,0000000
 1,3523651484;0,0036;  0;0,0000000
 0,0526497478;0,0037;  0;0,0000000
 0,5688659917;0,0038;  0;0,0000000
-1,5463881144;0,0039;  0;0,0000000
-0,4765091524;0,0040;  0;0,0000000
 0,3176584077;0,0041;  0;0,0000000
-1,2111306674;0,0042;  0;0,0000000
 0,3553473516;0,0043;  0;0,0000000
-2,0190747938;0,0044;  0;0,0000000
 1,2589590094;0,0045;  0;0,0000000
 1,3579800673;0,0046;  0;0,0000000
 1,6696208664;0,0047;  0;0,0000000
 1,7814277695;0,0048;  0;0,0000000
 1,4033134429;0,0049;  0;0,0000000
-0,3412268471;0,0050;  0;0,0000000
-0,6739006421;0,0051;  0;0,0000000
-0,6569739555;0,0052;  0;0,0000000
-1,4002297450;0,0053;  0;0,0000000
-2,3565450188;0,0054;  0;0,0000000
-1,5328358295;0,0055;  0;0,0000000
-0,9960165222;0,0056;  0;0,0000000
 0,5133872389;0,0057;  0;0,0000000
 0,2032044823;0,0058;  0;0,0000000
-1,1387636125;0,0059;  0;0,0000000
-0,8084088060;0,0060;  0;0,0000000
-0,9775131947;0,0061;  0;0,0000000
-0,5191208686;0,0062;  0;0,0000000
 0,4664146855;0,0063;  0;0,0000000
-0,1689839577;0,0064;  0;0,0000000
 0,4726373496;0,0065;  0;0,0000000
-0,2820242965;0,0066;  0;0,0000000
-0,4840527870;0,0067;  0;0,0000000
 0,4789202033;0,0068;  0;0,0000000
 2,1351888416;0,0069;  0;0,0000000
 0,0048100866;0,0070;  0;0,0000000
-0,8272729095;0,0071;  0;0,0000000
 0,5738849284;0,0072;  0;0,0000000
-0,2586602470;0,0073;  0;0,0000000
