Voltage (V);t (sec);freqs;amps
 1,4547897868;0,0001;100;0,3436201
 0,6233354406;0,0002;810;0,2195972
 1,4555393810;0,0003;110;0,3301694
 0,7073439767;0,0004;950;0,1903962
 0,2215930759;0,0005;640;0,2260224
-1,7891993491;0,0006;  0;0,0000000
 0,8574266883;0,0007;  0;0,0000000
 0,1116170232;0,0008;  0;0,0000000
-0,2016653099;0,0009;  0;0,0000000
-0,3530849342;0,0010;  0;0,0000000
-0,8903548483;0,0011;  0;0,0000000
 0,6985590995;0,0012;  0;0,0000000
-0,0781173234;0,0013;  0;0,0000000
 0,6517680982;0,0014;  0;0,0000000
 0,7935051392;0,0015;  0;0,0000000
 1,2253790967;0,0016;  0;0,0000000
 1,1832578093;0,0017;  0;0,0000000
 1,0125813516;0,0018;  0;0,0000000
 0,5173089120;0,0019;  0;0,0000000
 1,1321671026;0,0020;  0;0,0000000
-0,8807308889;0,0021;  0;0,0000000
 0,9247922898;0,0022;  0;0,0000000
-0,8446521802;0,0023;  0;0,0000000
 0,6277660913;0,0024;  0;0,0000000
 0,2878458185;0,0025;  0;0,0000000
-0,5058720210;0,0026;  0;0,0000000
 1,1615139350;0,0027;  0;0,0000000
-1,5564714132;0,0028;  0;0,0000000
 0,2766678053;0,0029;  0;0,0000000
 2,8763384315;0,0030;  0;0,0000000
 1,2730873641;0,0031;  0;0,0000000
-1,4404149969;0,0032;  0;0,0000000
 0,0448044456;0,0033;  0;0,0000000
 0,8792743517;0,0034;  0;0,0000000
 0,6245548316;0,0035;  0;0,0000000
 1,2877164771;0,0036;  0;0,0000000
 0,4149169689;0,0037;  0;0,0000000
 3,6312132928;0,0038;  0;0,0000000
-0,8501271520;0,0039;  0;0,0000000
-0,4505268835;0,0040;  0;0,0000000
 0,4368345857;0,0041;  0;0,0000000
-0,8876050021;0,0042;  0;0,0000000
-0,6967670642;0,0043;  0;0,0000000
 0,7906894240;0,0044;  0;0,0000000
-0,3219477957;0,0045;  0;0,0000000
 1,2613259979;0,0046;  0;0,0000000
-3,1445743939;0,0047;  0;0,0000000
-1,7563070404;0,0048;  0;0,0000000
 0,3933330349;0,0049;  0;0,0000000
 0,1992980200;0,0050;  0;0,0000000
 1,9482014020;0,0051;  0;0,0000000
 1,1018126082;0,0052;  0;0,0000000
 0,0029130865;0,0053;  0;0,0000000
 0,6883651938;0,0054;  0;0,0000000
 0,1348197898;0,0055;  0;0,0000000
-0,1838157499;0,0056;  0;0,0000000
-0,4256355304;0,0057;  0;0,0000000
-2,0066348845;0,0058;  0;0,0000000
-0,1513790114;0,0059;  0;0,0000000
-1,0711933547;0,0060;  0;0,0000000
 1,9046773204;0,0061;  0;0,0000000
-1,6720943120;0,0062;  0;0,0000000
-2,4159080170;0,0063;  0;0,0000000
-0,1871992362;0,0064;  0;0,0000000
 0,8392556193;0,0065;  0;0,0000000
 0,7020759029;0,0066;  0;0,0000000
-0,8149401342;0,0067;  0;0,0000000
 1,0670028345;0,0068;  0;0,0000000
-0,9354511549;0,0069;  0;0,0000000
 0,5710283697;0,0070;  0;0,0000000
-0,1234994446;0,0071;  0;0,0000000
-0,9697245896;0,0072;  0;0,0000000
-0,7696708129;0,0073;  0;0,0000000
-0,8089602776;0,0074;  0;0,0000000
-1,1659913869;0,0075;  0;0,0000000
 1,2880506457;0,0076;  0;0,0000000
-1,9207756804;0,0077;  0;0,0000000
 0,3789955949;0,0078;  0;0,0000000
-1,2160268836;0,0079;  0;0,0000000
-1,4498988612;0,0080;  0;0,0000000
-2,0852176926;0,0081;  0;0,0000000
 0,5211634548;0,0082;  0;0,0000000
 0,5554775828;0,0083;  0;0,0000000
 0,1475999461;0,0084;  0;0,0000000
-0,0394592852;0,0085;  0;0,0000000
-2,3027901462;0,0086;  0;0,0000000
-0,1166829678;0,0087;  0;0,0000000
-0,3678688870;0,0088;  0;0,0000000
 0,5395347902;0,0089;  0;0,0000000
-0,6523995890;0,0090;  0;0,0000000
 0,3804116491;0,0091;  0;0,0000000
-0,4512203069;0,0092;  0;0,0000000
 0,2561118027;0,0093;  0;0,0000000
 0,4699695274;0,0094;  0;0,0000000
 0,4164198951;0,0095;  0;0,0000000
 1,2054106603;0,0096;  0;0,0000000
-0,4620899001;0,0097;  0;0,0000000
 0,8515354680;0,0098;  0;0,0000000
 1,4857912358;0,0099;  0;0,0000000
-0,3522475458;0,0100;  0;0,0000000
 0,6433839286;0,0101;  0;0,0000000
-0,5861660790;0,0102;  0;0,0000000
 1,3161962601;0,0103;  0;0,0000000
 1,1392982638;0,0104;  0;0,0000000
-0,0430498835;0,0105;  0;0,0000000
 0,3477596161;0,0106;  0;0,0000000
 0,6232221875;0,0107;  0;0,0000000
 1,3935062833;0,0108;  0;0,0000000
 0,9592054002;0,0109;  0;0,0000000
 1,0081847474;0,0110;  0;0,0000000
-0,8692482917;0,0111;  0;0,0000000
-0,4236225582;0,0112;  0;0,0000000
 1,0700781903;0,0113;  0;0,0000000
 0,9370339633;0,0114;  0;0,0000000
 1,6450673530;0,0115;  0;0,0000000
 0,7733452941;0,0116;  0;0,0000000
 0,8281870198;0,0117;  0;0,0000000
-0,2699673491;0,0118;  0;0,0000000
-1,2226304699;0,0119;  0;0,0000000
-0,6662128914;0,0120;  0;0,0000000
-0,9541283727;0,0121;  0;0,0000000
 1,4970206030;0,0122;  0;0,0000000
 0,8764284142;0,0123;  0;0,0000000
 0,0112609644;0,0124;  0;0,0000000
 0,6874585286;0,0125;  0;0,0000000
 0,0493683096;0,0126;  0;0,0000000
 1,9224011238;0,0127;  0;0,0000000
 0,7879744196;0,0128;  0;0,0000000
 0,1254911342;0,0129;  0;0,0000000
-1,4055744606;0,0130;  0;0,0000000
 0,7008279615;0,0131;  0;0,0000000
 1,3191241277;0,0132;  0;0,0000000
-0,1220515195;0,0133;  0;0,0000000
-0,2637945571;0,0134;  0;0,0000000
 0,2592124859;0,0135;  0;0,0000000
 0,7698546795;0,0136;  0;0,0000000
-0,0828563899;0,0137;  0;0,0000000
 2,4696894382;0,0138;  0;0,0000000
 1,6863131180;0,0139;  0;0,0000000
-0,8770574104;0,0140;  0;0,0000000
-0,7649847321;0,0141;  0;0,0000000
-0,4069188733;0,0142;  0;0,0000000
-0,8438943354;0,0143;  0;0,0000000
 0,7030924320;0,0144;  0;0,0000000
-1,8157162394;0,0145;  0;0,0000000
-0,2508116693;0,0146;  0;0,0000000
-0,5052157063;0,0147;  0;0,0000000
-0,2458652290;0,0148;  0;0,0000000
-0,6803205938;0,0149;  0;0,0000000
 1,2912917705;0,0150;  0;0,0000000
-1,6738286147;0,0151;  0;0,0000000
 0,1370971417;0,0152;  0;0,0000000
-2,5318799440;0,0153;  0;0,0000000
-1,4358197302;0,0154;  0;0,0000000
 0,7661236785;0,0155;  0;0,0000000
-1,4562157374;0,0156;  0;0,0000000
-0,4754405314;0,0157;  0;0,0000000
-1,8695963264;0,0158;  0;0,0000000
-0,2677286850;0,0159;  0;0,0000000
 0,4692650806;0,0160;  0;0,0000000
 1,3411320263;0,0161;  0;0,0000000
 0,8778988228;0,0162;  0;0,0000000
 1,8680523358;0,0163;  0;0,0000000
-0,6535916061;0,0164;  0;0,0000000
-2,0448754591;0,0165;  0;0,0000000
-2,1882988220;0,0166;  0;0,0000000
-0,2000455568;0,0167;  0;0,0000000
-1,9678837995;0,0168;  0;0,0000000
-2,7264688312;0,0169;  0;0,0000000
 0,0252767151;0,0170;  0;0,0000000
 0,4251198840;0,0171;  0;0,0000000
-1,2425806213;0,0172;  0;0,0000000
-1,5017309047;0,0173;  0;0,0000000
 0,0783380270;0,0174;  0;0,0000000
-2,6464855709;0,0175;  0;0,0000000
 0,3465936412;0,0176;  0;0,0000000
 0,9181684119;0,0177;  0;0,0000000
-0,6213782795;0,0178;  0;0,0000000
 0,0496538935;0,0179;  0;0,0000000
-0,7302041188;0,0180;  0;0,0000000
-0,9401606142;0,0181;  0;0,0000000
 1,4725951746;0,0182;  0;0,0000000
 1,0706972099;0,0183;  0;0,0000000
-1,2273887885;0,0184;  0;0,0000000
 0,7866163601;0,0185;  0;0,0000000
 0,0825458526;0,0186;  0;0,0000000
-0,9072866709;0,0187;  0;0,0000000
 0,1232120502;0,0188;  0;0,0000000
 0,1357473196;0,0189;  0;0,0000000
 0,9658963730;0,0190;  0;0,0000000
