Voltage (V);t (sec);freqs;amps
-1,566762e+00;0,0001;310;0,3265303
-6,927043e-01;0,0002;200;0,2182535
 1,380531e-01;0,0003;860;0,3640580
 9,144741e-01;0,0004;  0;0,0000000
 1,039469e+00;0,0005;  0;0,0000000
 1,695703e+00;0,0006;  0;0,0000000
 4,858806e-01;0,0007;  0;0,0000000
 4,547216e-01;0,0008;  0;0,0000000
-4,593387e-01;0,0009;  0;0,0000000
-6,349900e-02;0,0010;  0;0,0000000
 2,445019e+00;0,0011;  0;0,0000000
-6,371243e-01;0,0012;  0;0,0000000
 2,354055e-01;0,0013;  0;0,0000000
 5,423356e-01;0,0014;  0;0,0000000
-2,065468e+00;0,0015;  0;0,0000000
 2,762306e-01;0,0016;  0;0,0000000
 3,151527e-01;0,0017;  0;0,0000000
 2,345612e-01;0,0018;  0;0,0000000
-2,775552e-01;0,0019;  0;0,0000000
-1,400459e+00;0,0020;  0;0,0000000
-1,215991e+00;0,0021;  0;0,0000000
-1,754560e+00;0,0022;  0;0,0000000
 1,622602e-03;0,0023;  0;0,0000000
-1,022887e+00;0,0024;  0;0,0000000
 1,047613e+00;0,0025;  0;0,0000000
 3,454726e-01;0,0026;  0;0,0000000
-3,881778e-01;0,0027;  0;0,0000000
 6,895376e-01;0,0028;  0;0,0000000
 7,428112e-01;0,0029;  0;0,0000000
-1,319698e+00;0,0030;  0;0,0000000
-1,429184e+00;0,0031;  0;0,0000000
 1,393238e-01;0,0032;  0;0,0000000
-2,652804e+00;0,0033;  0;0,0000000
 7,057148e-01;0,0034;  0;0,0000000
 2,058770e+00;0,0035;  0;0,0000000
 4,818622e-01;0,0036;  0;0,0000000
-2,473078e-01;0,0037;  0;0,0000000
-1,406999e+00;0,0038;  0;0,0000000
 1,259574e+00;0,0039;  0;0,0000000
-3,600707e-01;0,0040;  0;0,0000000
 2,986971e-01;0,0041;  0;0,0000000
-5,775385e-01;0,0042;  0;0,0000000
-1,374509e+00;0,0043;  0;0,0000000
 2,910111e-01;0,0044;  0;0,0000000
 9,532350e-01;0,0045;  0;0,0000000
 7,760114e-01;0,0046;  0;0,0000000
-3,679350e-01;0,0047;  0;0,0000000
 3,345297e-01;0,0048;  0;0,0000000
 1,801212e+00;0,0049;  0;0,0000000
 2,016654e+00;0,0050;  0;0,0000000
-3,836718e-01;0,0051;  0;0,0000000
 1,465397e+00;0,0052;  0;0,0000000
 2,560471e-01;0,0053;  0;0,0000000
 4,866473e-01;0,0054;  0;0,0000000
-1,016143e+00;0,0055;  0;0,0000000
 4,757950e-02;0,0056;  0;0,0000000
-1,323204e+00;0,0057;  0;0,0000000
-5,127185e-01;0,0058;  0;0,0000000
 1,471961e+00;0,0059;  0;0,0000000
 3,875353e-01;0,0060;  0;0,0000000
 2,652852e+00;0,0061;  0;0,0000000
-3,913018e-01;0,0062;  0;0,0000000
 2,159046e+00;0,0063;  0;0,0000000
 1,142443e+00;0,0064;  0;0,0000000
-2,283608e-01;0,0065;  0;0,0000000
-4,207317e-01;0,0066;  0;0,0000000
-6,012885e-01;0,0067;  0;0,0000000
-5,744614e-01;0,0068;  0;0,0000000
 2,224472e-01;0,0069;  0;0,0000000
 9,949968e-01;0,0070;  0;0,0000000
 3,040729e+00;0,0071;  0;0,0000000
 1,558345e+00;0,0072;  0;0,0000000
 2,035982e+00;0,0073;  0;0,0000000
-5,152227e-01;0,0074;  0;0,0000000
-9,906954e-01;0,0075;  0;0,0000000
-5,292864e-01;0,0076;  0;0,0000000
-1,076284e+00;0,0077;  0;0,0000000
-2,936175e-01;0,0078;  0;0,0000000
 7,834579e-01;0,0079;  0;0,0000000
-9,283830e-03;0,0080;  0;0,0000000
-1,392698e+00;0,0081;  0;0,0000000
-3,314275e-01;0,0082;  0;0,0000000
 4,366775e-02;0,0083;  0;0,0000000
-8,706707e-01;0,0084;  0;0,0000000
 8,446133e-01;0,0085;  0;0,0000000
-1,280831e+00;0,0086;  0;0,0000000
-8,599705e-01;0,0087;  0;0,0000000
-2,018689e+00;0,0088;  0;0,0000000
-2,643396e-01;0,0089;  0;0,0000000
-1,842651e+00;0,0090;  0;0,0000000
 6,159738e-01;0,0091;  0;0,0000000
-2,826901e+00;0,0092;  0;0,0000000
-1,503985e+00;0,0093;  0;0,0000000
-2,163098e-01;0,0094;  0;0,0000000
-3,543425e-01;0,0095;  0;0,0000000
 3,789264e+00;0,0096;  0;0,0000000
 3,194941e-01;0,0097;  0;0,0000000
-9,997327e-01;0,0098;  0;0,0000000
-6,447782e-01;0,0099;  0;0,0000000
 7,890919e-01;0,0100;  0;0,0000000
-9,040067e-01;0,0101;  0;0,0000000
-3,357366e-01;0,0102;  0;0,0000000
 6,071063e-01;0,0103;  0;0,0000000
-7,259926e-01;0,0104;  0;0,0000000
 2,206048e+00;0,0105;  0;0,0000000
 1,147955e+00;0,0106;  0;0,0000000
-1,183281e-01;0,0107;  0;0,0000000
-9,426916e-03;0,0108;  0;0,0000000
 1,045708e+00;0,0109;  0;0,0000000
 2,125974e+00;0,0110;  0;0,0000000
-3,273598e-01;0,0111;  0;0,0000000
-5,704336e-01;0,0112;  0;0,0000000
 8,951426e-01;0,0113;  0;0,0000000
 8,237860e-01;0,0114;  0;0,0000000
 9,779137e-01;0,0115;  0;0,0000000
-1,349722e+00;0,0116;  0;0,0000000
 2,716895e-01;0,0117;  0;0,0000000
 1,059579e-01;0,0118;  0;0,0000000
 8,547719e-01;0,0119;  0;0,0000000
 1,031233e-01;0,0120;  0;0,0000000
 1,574933e-01;0,0121;  0;0,0000000
-8,300065e-02;0,0122;  0;0,0000000
 1,113339e+00;0,0123;  0;0,0000000
-1,877419e+00;0,0124;  0;0,0000000
-2,361887e+00;0,0125;  0;0,0000000
 9,620650e-01;0,0126;  0;0,0000000
-8,327856e-02;0,0127;  0;0,0000000
 6,078570e-01;0,0128;  0;0,0000000
-1,013522e+00;0,0129;  0;0,0000000
 7,083753e-01;0,0130;  0;0,0000000
 1,578048e+00;0,0131;  0;0,0000000
-9,311448e-01;0,0132;  0;0,0000000
 1,141633e+00;0,0133;  0;0,0000000
-6,967830e-02;0,0134;  0;0,0000000
-9,910003e-01;0,0135;  0;0,0000000
 7,121311e-01;0,0136;  0;0,0000000
-2,186681e+00;0,0137;  0;0,0000000
 3,569571e-01;0,0138;  0;0,0000000
 2,670820e-01;0,0139;  0;0,0000000
-2,029474e+00;0,0140;  0;0,0000000
-6,602506e-01;0,0141;  0;0,0000000
 8,305672e-01;0,0142;  0;0,0000000
 1,351481e+00;0,0143;  0;0,0000000
-2,060828e+00;0,0144;  0;0,0000000
-1,687638e+00;0,0145;  0;0,0000000
-1,170466e-01;0,0146;  0;0,0000000
-1,670532e+00;0,0147;  0;0,0000000
-2,129409e+00;0,0148;  0;0,0000000
-6,678512e-01;0,0149;  0;0,0000000
-1,343899e+00;0,0150;  0;0,0000000
-7,988963e-01;0,0151;  0;0,0000000
-4,521101e-01;0,0152;  0;0,0000000
-7,176529e-01;0,0153;  0;0,0000000
-2,490208e-01;0,0154;  0;0,0000000
-2,037611e+00;0,0155;  0;0,0000000
 2,506216e-01;0,0156;  0;0,0000000
-3,676949e-01;0,0157;  0;0,0000000
-5,049763e-01;0,0158;  0;0,0000000
 2,087911e-01;0,0159;  0;0,0000000
 1,271839e+00;0,0160;  0;0,0000000
 1,289941e+00;0,0161;  0;0,0000000
 8,434430e-02;0,0162;  0;0,0000000
 1,099569e+00;0,0163;  0;0,0000000
 2,284322e+00;0,0164;  0;0,0000000
 5,212645e-02;0,0165;  0;0,0000000
 2,922133e+00;0,0166;  0;0,0000000
-6,341521e-01;0,0167;  0;0,0000000
 5,817434e-01;0,0168;  0;0,0000000
-2,352327e-01;0,0169;  0;0,0000000
 5,083490e-01;0,0170;  0;0,0000000
-1,104515e+00;0,0171;  0;0,0000000
 9,413369e-01;0,0172;  0;0,0000000
 1,269909e-01;0,0173;  0;0,0000000
-1,014890e+00;0,0174;  0;0,0000000
 1,351395e+00;0,0175;  0;0,0000000
 1,686191e+00;0,0176;  0;0,0000000
 3,575294e-01;0,0177;  0;0,0000000
 3,039754e-02;0,0178;  0;0,0000000
 7,458642e-01;0,0179;  0;0,0000000
-1,723623e+00;0,0180;  0;0,0000000
-6,028521e-01;0,0181;  0;0,0000000
-1,157847e+00;0,0182;  0;0,0000000
-7,870032e-01;0,0183;  0;0,0000000
-2,701199e+00;0,0184;  0;0,0000000
-2,490272e+00;0,0185;  0;0,0000000
-2,788098e+00;0,0186;  0;0,0000000
-7,831655e-01;0,0187;  0;0,0000000
 5,176395e-01;0,0188;  0;0,0000000
 7,072515e-01;0,0189;  0;0,0000000
 1,176179e+00;0,0190;  0;0,0000000
 1,296238e+00;0,0191;  0;0,0000000
 1,822226e-01;0,0192;  0;0,0000000
-1,001470e+00;0,0193;  0;0,0000000
-1,197129e-01;0,0194;  0;0,0000000
 5,558399e-01;0,0195;  0;0,0000000
-1,634245e+00;0,0196;  0;0,0000000
-2,024261e-01;0,0197;  0;0,0000000
 7,548544e-01;0,0198;  0;0,0000000
-7,569758e-01;0,0199;  0;0,0000000
 6,614580e-01;0,0200;  0;0,0000000
 1,504811e+00;0,0201;  0;0,0000000
 6,487889e-01;0,0202;  0;0,0000000
-1,316659e+00;0,0203;  0;0,0000000
 1,034887e-01;0,0204;  0;0,0000000
 1,214062e+00;0,0205;  0;0,0000000
 7,408468e-01;0,0206;  0;0,0000000
-6,828829e-01;0,0207;  0;0,0000000
-5,961288e-01;0,0208;  0;0,0000000
 7,067352e-01;0,0209;  0;0,0000000
 3,629523e-01;0,0210;  0;0,0000000
-8,795476e-01;0,0211;  0;0,0000000
-3,149640e-01;0,0212;  0;0,0000000
-7,998933e-01;0,0213;  0;0,0000000
-1,174294e+00;0,0214;  0;0,0000000
-1,159280e-01;0,0215;  0;0,0000000
-1,784113e+00;0,0216;  0;0,0000000
 1,584937e-01;0,0217;  0;0,0000000
-1,638918e+00;0,0218;  0;0,0000000
 9,362006e-01;0,0219;  0;0,0000000
-2,241528e+00;0,0220;  0;0,0000000
 1,035899e+00;0,0221;  0;0,0000000
-8,144212e-01;0,0222;  0;0,0000000
-1,327707e+00;0,0223;  0;0,0000000
-8,512112e-01;0,0224;  0;0,0000000
 2,467171e-01;0,0225;  0;0,0000000
-5,799172e-01;0,0226;  0;0,0000000
-9,444321e-01;0,0227;  0;0,0000000
-5,024420e-01;0,0228;  0;0,0000000
 1,383297e-01;0,0229;  0;0,0000000
 3,299948e-01;0,0230;  0;0,0000000
-1,317829e+00;0,0231;  0;0,0000000
-2,257212e-02;0,0232;  0;0,0000000
 6,932610e-01;0,0233;  0;0,0000000
-1,149850e+00;0,0234;  0;0,0000000
 1,428885e+00;0,0235;  0;0,0000000
 1,059607e+00;0,0236;  0;0,0000000
-6,413458e-01;0,0237;  0;0,0000000
 1,120055e+00;0,0238;  0;0,0000000
-8,319362e-01;0,0239;  0;0,0000000
-1,317745e-01;0,0240;  0;0,0000000
-1,921302e+00;0,0241;  0;0,0000000
-6,067096e-01;0,0242;  0;0,0000000
-1,085871e+00;0,0243;  0;0,0000000
-1,361116e+00;0,0244;  0;0,0000000
 4,271286e-01;0,0245;  0;0,0000000
 4,554316e-01;0,0246;  0;0,0000000
 3,238852e-01;0,0247;  0;0,0000000
 6,687550e-01;0,0248;  0;0,0000000
-5,286861e-01;0,0249;  0;0,0000000
-2,007484e+00;0,0250;  0;0,0000000
-1,350639e+00;0,0251;  0;0,0000000
-1,823900e+00;0,0252;  0;0,0000000
-8,754916e-01;0,0253;  0;0,0000000
 1,099030e+00;0,0254;  0;0,0000000
-9,263647e-01;0,0255;  0;0,0000000
-3,538797e-01;0,0256;  0;0,0000000
 7,615920e-01;0,0257;  0;0,0000000
-2,942925e-01;0,0258;  0;0,0000000
 3,514348e-01;0,0259;  0;0,0000000
 1,291893e-01;0,0260;  0;0,0000000
-9,958230e-01;0,0261;  0;0,0000000
 5,709774e-01;0,0262;  0;0,0000000
-1,230524e+00;0,0263;  0;0,0000000
