Voltage (V);t (sec);freqs;amps
-1,858922e-01;0,0001;170;0,1150084
 1,660339e+00;0,0002;540;0,1198398
 2,417096e+00;0,0003;330;0,4761624
 1,553189e+00;0,0004;160;0,4496984
 1,438111e+00;0,0005;850;0,1818077
 1,319967e+00;0,0006;  0;0,0000000
-5,187424e-01;0,0007;  0;0,0000000
 3,299042e-01;0,0008;  0;0,0000000
 1,489447e-01;0,0009;  0;0,0000000
 6,123117e-02;0,0010;  0;0,0000000
 8,950218e-01;0,0011;  0;0,0000000
 1,084297e+00;0,0012;  0;0,0000000
 1,880872e+00;0,0013;  0;0,0000000
 8,793229e-01;0,0014;  0;0,0000000
 6,021258e-01;0,0015;  0;0,0000000
 3,054525e-01;0,0016;  0;0,0000000
 1,535635e-01;0,0017;  0;0,0000000
 2,066659e+00;0,0018;  0;0,0000000
-9,938303e-01;0,0019;  0;0,0000000
 1,012694e-01;0,0020;  0;0,0000000
 4,198399e-01;0,0021;  0;0,0000000
 1,941502e+00;0,0022;  0;0,0000000
-1,071866e+00;0,0023;  0;0,0000000
 1,439726e+00;0,0024;  0;0,0000000
 2,251407e-01;0,0025;  0;0,0000000
-4,002963e-02;0,0026;  0;0,0000000
 2,346357e-01;0,0027;  0;0,0000000
-2,368666e-01;0,0028;  0;0,0000000
-2,187940e-01;0,0029;  0;0,0000000
-1,692095e-01;0,0030;  0;0,0000000
-2,487605e-01;0,0031;  0;0,0000000
 4,797166e-01;0,0032;  0;0,0000000
-1,135421e+00;0,0033;  0;0,0000000
-4,179215e-01;0,0034;  0;0,0000000
 9,422286e-01;0,0035;  0;0,0000000
 3,484705e-01;0,0036;  0;0,0000000
 1,223302e+00;0,0037;  0;0,0000000
-2,580501e-01;0,0038;  0;0,0000000
 6,272564e-01;0,0039;  0;0,0000000
-7,624576e-01;0,0040;  0;0,0000000
-1,585807e+00;0,0041;  0;0,0000000
 1,729883e+00;0,0042;  0;0,0000000
-3,237279e-01;0,0043;  0;0,0000000
-5,070758e-02;0,0044;  0;0,0000000
-4,594248e-01;0,0045;  0;0,0000000
 1,310647e-01;0,0046;  0;0,0000000
-1,843689e-01;0,0047;  0;0,0000000
-1,318470e-01;0,0048;  0;0,0000000
-2,954185e+00;0,0049;  0;0,0000000
-1,257613e+00;0,0050;  0;0,0000000
-6,139851e-01;0,0051;  0;0,0000000
 8,612635e-01;0,0052;  0;0,0000000
-3,586469e-01;0,0053;  0;0,0000000
-2,208860e+00;0,0054;  0;0,0000000
-5,533111e-01;0,0055;  0;0,0000000
-1,108108e+00;0,0056;  0;0,0000000
-2,423561e+00;0,0057;  0;0,0000000
-7,976946e-01;0,0058;  0;0,0000000
 3,404276e-02;0,0059;  0;0,0000000
 4,634367e-01;0,0060;  0;0,0000000
-6,198046e-01;0,0061;  0;0,0000000
-5,371615e-01;0,0062;  0;0,0000000
 1,045685e+00;0,0063;  0;0,0000000
 1,048801e+00;0,0064;  0;0,0000000
 5,286323e-01;0,0065;  0;0,0000000
 1,115793e+00;0,0066;  0;0,0000000
 3,839705e-01;0,0067;  0;0,0000000
-7,550524e-01;0,0068;  0;0,0000000
-1,045852e+00;0,0069;  0;0,0000000
 1,914098e+00;0,0070;  0;0,0000000
 1,843877e+00;0,0071;  0;0,0000000
 5,639471e-01;0,0072;  0;0,0000000
 1,048867e+00;0,0073;  0;0,0000000
 1,012003e+00;0,0074;  0;0,0000000
-1,538653e-02;0,0075;  0;0,0000000
 7,671945e-01;0,0076;  0;0,0000000
 4,974307e-01;0,0077;  0;0,0000000
 6,204707e-01;0,0078;  0;0,0000000
 1,576080e-02;0,0079;  0;0,0000000
-9,705137e-01;0,0080;  0;0,0000000
 2,522798e-01;0,0081;  0;0,0000000
 2,022246e+00;0,0082;  0;0,0000000
 1,240027e+00;0,0083;  0;0,0000000
 1,106459e+00;0,0084;  0;0,0000000
 2,067086e+00;0,0085;  0;0,0000000
-3,661141e-01;0,0086;  0;0,0000000
-4,021532e-02;0,0087;  0;0,0000000
-1,775842e-01;0,0088;  0;0,0000000
 4,073377e-01;0,0089;  0;0,0000000
-5,640334e-02;0,0090;  0;0,0000000
 2,149534e+00;0,0091;  0;0,0000000
 1,438649e-01;0,0092;  0;0,0000000
-1,987054e-01;0,0093;  0;0,0000000
 1,831628e+00;0,0094;  0;0,0000000
 1,807758e+00;0,0095;  0;0,0000000
 1,698506e+00;0,0096;  0;0,0000000
 3,511382e-02;0,0097;  0;0,0000000
 1,409160e+00;0,0098;  0;0,0000000
 8,587323e-01;0,0099;  0;0,0000000
-1,434847e+00;0,0100;  0;0,0000000
 2,913204e-01;0,0101;  0;0,0000000
-1,190151e+00;0,0102;  0;0,0000000
 2,990281e-01;0,0103;  0;0,0000000
 5,926519e-01;0,0104;  0;0,0000000
-1,239322e+00;0,0105;  0;0,0000000
-5,885694e-01;0,0106;  0;0,0000000
-1,331112e+00;0,0107;  0;0,0000000
-3,661196e-01;0,0108;  0;0,0000000
-3,164915e-01;0,0109;  0;0,0000000
-1,576353e+00;0,0110;  0;0,0000000
-1,396819e+00;0,0111;  0;0,0000000
-1,125366e+00;0,0112;  0;0,0000000
 1,553371e-01;0,0113;  0;0,0000000
-2,254048e+00;0,0114;  0;0,0000000
-5,634849e-01;0,0115;  0;0,0000000
-3,518922e-01;0,0116;  0;0,0000000
-7,763676e-01;0,0117;  0;0,0000000
-2,029692e+00;0,0118;  0;0,0000000
 5,433667e-01;0,0119;  0;0,0000000
 1,356197e+00;0,0120;  0;0,0000000
 5,818900e-01;0,0121;  0;0,0000000
 8,294501e-01;0,0122;  0;0,0000000
 8,811932e-02;0,0123;  0;0,0000000
 2,705238e-01;0,0124;  0;0,0000000
-2,780575e-01;0,0125;  0;0,0000000
-5,553119e-01;0,0126;  0;0,0000000
-4,574561e-02;0,0127;  0;0,0000000
 2,618305e+00;0,0128;  0;0,0000000
 4,050517e-01;0,0129;  0;0,0000000
 1,209733e+00;0,0130;  0;0,0000000
 3,060715e-01;0,0131;  0;0,0000000
 1,265811e+00;0,0132;  0;0,0000000
-5,002969e-01;0,0133;  0;0,0000000
 2,969739e+00;0,0134;  0;0,0000000
-8,061370e-01;0,0135;  0;0,0000000
-2,991157e-01;0,0136;  0;0,0000000
 1,462948e+00;0,0137;  0;0,0000000
 1,303591e-01;0,0138;  0;0,0000000
 1,270811e+00;0,0139;  0;0,0000000
-1,561004e+00;0,0140;  0;0,0000000
-8,453694e-02;0,0141;  0;0,0000000
 9,889897e-01;0,0142;  0;0,0000000
-3,452465e-01;0,0143;  0;0,0000000
-6,696490e-01;0,0144;  0;0,0000000
-2,214989e-01;0,0145;  0;0,0000000
 8,859238e-01;0,0146;  0;0,0000000
 1,706919e-01;0,0147;  0;0,0000000
-3,883275e-02;0,0148;  0;0,0000000
 2,167545e-01;0,0149;  0;0,0000000
-3,512580e-03;0,0150;  0;0,0000000
 1,113086e+00;0,0151;  0;0,0000000
-3,146572e-01;0,0152;  0;0,0000000
 1,531233e+00;0,0153;  0;0,0000000
 1,586279e+00;0,0154;  0;0,0000000
-2,708859e-01;0,0155;  0;0,0000000
 1,262187e+00;0,0156;  0;0,0000000
 3,735411e-01;0,0157;  0;0,0000000
 1,446080e+00;0,0158;  0;0,0000000
-3,699389e-01;0,0159;  0;0,0000000
-3,970899e-01;0,0160;  0;0,0000000
 7,521655e-01;0,0161;  0;0,0000000
 6,811147e-01;0,0162;  0;0,0000000
-3,930513e-01;0,0163;  0;0,0000000
-7,749520e-01;0,0164;  0;0,0000000
-2,282235e+00;0,0165;  0;0,0000000
-3,550616e-01;0,0166;  0;0,0000000
-1,068990e+00;0,0167;  0;0,0000000
-3,362395e-01;0,0168;  0;0,0000000
-1,234237e+00;0,0169;  0;0,0000000
-1,576401e+00;0,0170;  0;0,0000000
-1,332957e+00;0,0171;  0;0,0000000
-1,040783e+00;0,0172;  0;0,0000000
-6,424189e-02;0,0173;  0;0,0000000
-9,517767e-01;0,0174;  0;0,0000000
-1,394913e+00;0,0175;  0;0,0000000
-2,632472e+00;0,0176;  0;0,0000000
-1,803584e+00;0,0177;  0;0,0000000
 1,954240e-01;0,0178;  0;0,0000000
-1,856906e-01;0,0179;  0;0,0000000
 3,309693e-01;0,0180;  0;0,0000000
-7,617107e-01;0,0181;  0;0,0000000
-1,245195e+00;0,0182;  0;0,0000000
 8,945267e-02;0,0183;  0;0,0000000
-8,377274e-01;0,0184;  0;0,0000000
 7,247464e-01;0,0185;  0;0,0000000
 1,815439e+00;0,0186;  0;0,0000000
-8,190210e-01;0,0187;  0;0,0000000
 4,503178e-01;0,0188;  0;0,0000000
 7,193061e-01;0,0189;  0;0,0000000
 2,463975e+00;0,0190;  0;0,0000000
 2,613428e-01;0,0191;  0;0,0000000
 2,663987e+00;0,0192;  0;0,0000000
-9,265889e-01;0,0193;  0;0,0000000
-5,403844e-01;0,0194;  0;0,0000000
 3,943951e-01;0,0195;  0;0,0000000
-5,943878e-02;0,0196;  0;0,0000000
 2,041755e-01;0,0197;  0;0,0000000
 1,045062e+00;0,0198;  0;0,0000000
-2,243844e-01;0,0199;  0;0,0000000
 9,827248e-01;0,0200;  0;0,0000000
 1,206413e+00;0,0201;  0;0,0000000
 7,621977e-01;0,0202;  0;0,0000000
 8,330766e-01;0,0203;  0;0,0000000
-9,406543e-01;0,0204;  0;0,0000000
-2,631277e-01;0,0205;  0;0,0000000
-7,625532e-01;0,0206;  0;0,0000000
 1,645609e-01;0,0207;  0;0,0000000
 1,900233e-01;0,0208;  0;0,0000000
 1,181559e+00;0,0209;  0;0,0000000
 7,022492e-01;0,0210;  0;0,0000000
-9,194752e-01;0,0211;  0;0,0000000
 4,203218e-01;0,0212;  0;0,0000000
 8,451685e-01;0,0213;  0;0,0000000
 4,807702e-01;0,0214;  0;0,0000000
-1,281416e+00;0,0215;  0;0,0000000
 1,398365e+00;0,0216;  0;0,0000000
-6,853143e-01;0,0217;  0;0,0000000
 3,919563e-01;0,0218;  0;0,0000000
-6,264897e-01;0,0219;  0;0,0000000
-8,853373e-01;0,0220;  0;0,0000000
 1,708201e+00;0,0221;  0;0,0000000
 1,011586e+00;0,0222;  0;0,0000000
 1,753838e-01;0,0223;  0;0,0000000
 5,121419e-01;0,0224;  0;0,0000000
 6,975936e-01;0,0225;  0;0,0000000
 1,162316e+00;0,0226;  0;0,0000000
-1,359096e+00;0,0227;  0;0,0000000
-3,620896e-01;0,0228;  0;0,0000000
 4,926096e-02;0,0229;  0;0,0000000
-9,400674e-01;0,0230;  0;0,0000000
-9,169776e-01;0,0231;  0;0,0000000
-1,284917e+00;0,0232;  0;0,0000000
-7,650809e-01;0,0233;  0;0,0000000
 2,906078e-01;0,0234;  0;0,0000000
-2,476051e+00;0,0235;  0;0,0000000
 6,888351e-01;0,0236;  0;0,0000000
-1,274487e+00;0,0237;  0;0,0000000
-2,018783e+00;0,0238;  0;0,0000000
-6,323858e-01;0,0239;  0;0,0000000
 3,628153e-02;0,0240;  0;0,0000000
-1,274456e-01;0,0241;  0;0,0000000
-1,036806e+00;0,0242;  0;0,0000000
 2,215633e-01;0,0243;  0;0,0000000
 7,070072e-01;0,0244;  0;0,0000000
 1,667464e-01;0,0245;  0;0,0000000
 1,322303e+00;0,0246;  0;0,0000000
 1,468305e-01;0,0247;  0;0,0000000
 1,337232e+00;0,0248;  0;0,0000000
-5,715487e-01;0,0249;  0;0,0000000
 8,197928e-01;0,0250;  0;0,0000000
 3,938940e-01;0,0251;  0;0,0000000
 1,409326e-01;0,0252;  0;0,0000000
 9,899322e-01;0,0253;  0;0,0000000
 1,878521e-01;0,0254;  0;0,0000000
-1,030793e+00;0,0255;  0;0,0000000
 2,086857e+00;0,0256;  0;0,0000000
 1,599640e+00;0,0257;  0;0,0000000
 2,146091e-01;0,0258;  0;0,0000000
 3,496799e-01;0,0259;  0;0,0000000
 1,209627e+00;0,0260;  0;0,0000000
-6,599972e-01;0,0261;  0;0,0000000
 3,869719e-01;0,0262;  0;0,0000000
-9,405632e-01;0,0263;  0;0,0000000
-2,077786e-01;0,0264;  0;0,0000000
-1,258355e+00;0,0265;  0;0,0000000
-1,528161e+00;0,0266;  0;0,0000000
 1,042171e+00;0,0267;  0;0,0000000
-6,364294e-01;0,0268;  0;0,0000000
