Voltage (V);t (sec);freqs;amps
 3,770793e-01;0,0001;190;0,3296458
 1,321186e+00;0,0002;480;0,2905910
 1,553085e+00;0,0003;830;0,4513772
 1,228664e+00;0,0004;980;0,3288608
 8,825339e-01;0,0005;  0;0,0000000
 9,175895e-01;0,0006;  0;0,0000000
-1,480099e+00;0,0007;  0;0,0000000
-2,496446e-01;0,0008;  0;0,0000000
 5,756594e-02;0,0009;  0;0,0000000
 1,068455e+00;0,0010;  0;0,0000000
 3,180405e-01;0,0011;  0;0,0000000
-5,010360e-01;0,0012;  0;0,0000000
 1,793465e+00;0,0013;  0;0,0000000
 1,541328e-01;0,0014;  0;0,0000000
 2,116339e+00;0,0015;  0;0,0000000
 1,394818e+00;0,0016;  0;0,0000000
 6,864317e-01;0,0017;  0;0,0000000
 1,521489e+00;0,0018;  0;0,0000000
 9,941186e-01;0,0019;  0;0,0000000
-2,196091e-01;0,0020;  0;0,0000000
 8,172065e-02;0,0021;  0;0,0000000
 2,456632e+00;0,0022;  0;0,0000000
 4,916037e-01;0,0023;  0;0,0000000
 1,364357e-01;0,0024;  0;0,0000000
 2,103840e+00;0,0025;  0;0,0000000
 2,602835e+00;0,0026;  0;0,0000000
-7,275481e-01;0,0027;  0;0,0000000
 1,746516e-01;0,0028;  0;0,0000000
-1,077829e+00;0,0029;  0;0,0000000
 3,004170e-01;0,0030;  0;0,0000000
-1,270677e+00;0,0031;  0;0,0000000
 9,830122e-01;0,0032;  0;0,0000000
 5,468167e-01;0,0033;  0;0,0000000
 4,810825e-01;0,0034;  0;0,0000000
-1,800366e+00;0,0035;  0;0,0000000
-1,811387e+00;0,0036;  0;0,0000000
-2,994911e-01;0,0037;  0;0,0000000
-4,598838e-01;0,0038;  0;0,0000000
-2,854240e-01;0,0039;  0;0,0000000
-7,986414e-01;0,0040;  0;0,0000000
 1,268544e-02;0,0041;  0;0,0000000
-1,712420e+00;0,0042;  0;0,0000000
-4,090866e-01;0,0043;  0;0,0000000
 8,630723e-01;0,0044;  0;0,0000000
 7,494670e-01;0,0045;  0;0,0000000
-7,711299e-01;0,0046;  0;0,0000000
 7,622597e-01;0,0047;  0;0,0000000
-5,020216e-03;0,0048;  0;0,0000000
 9,458626e-01;0,0049;  0;0,0000000
-9,156429e-01;0,0050;  0;0,0000000
 1,348711e+00;0,0051;  0;0,0000000
 3,217119e-01;0,0052;  0;0,0000000
 1,298037e+00;0,0053;  0;0,0000000
-1,240474e+00;0,0054;  0;0,0000000
-7,086498e-01;0,0055;  0;0,0000000
-9,080087e-02;0,0056;  0;0,0000000
 1,478256e+00;0,0057;  0;0,0000000
-3,635297e-02;0,0058;  0;0,0000000
-8,325977e-01;0,0059;  0;0,0000000
-2,207553e+00;0,0060;  0;0,0000000
 1,634711e+00;0,0061;  0;0,0000000
 8,948876e-01;0,0062;  0;0,0000000
 2,948822e-01;0,0063;  0;0,0000000
-4,536624e-01;0,0064;  0;0,0000000
 5,225780e-01;0,0065;  0;0,0000000
 7,146845e-01;0,0066;  0;0,0000000
-5,971833e-01;0,0067;  0;0,0000000
-1,126968e+00;0,0068;  0;0,0000000
 5,696533e-01;0,0069;  0;0,0000000
-8,514037e-02;0,0070;  0;0,0000000
 1,409847e+00;0,0071;  0;0,0000000
 1,695061e-01;0,0072;  0;0,0000000
 9,408517e-01;0,0073;  0;0,0000000
 2,286785e+00;0,0074;  0;0,0000000
-1,574082e+00;0,0075;  0;0,0000000
 4,177669e-01;0,0076;  0;0,0000000
 6,032613e-01;0,0077;  0;0,0000000
 1,208922e+00;0,0078;  0;0,0000000
-1,124608e-02;0,0079;  0;0,0000000
-2,982287e+00;0,0080;  0;0,0000000
-1,770685e+00;0,0081;  0;0,0000000
-1,511257e+00;0,0082;  0;0,0000000
 1,228014e-01;0,0083;  0;0,0000000
 1,863085e+00;0,0084;  0;0,0000000
 8,671049e-01;0,0085;  0;0,0000000
 2,015658e+00;0,0086;  0;0,0000000
-1,266393e+00;0,0087;  0;0,0000000
 3,018606e-01;0,0088;  0;0,0000000
 2,877865e-01;0,0089;  0;0,0000000
 7,716663e-02;0,0090;  0;0,0000000
-1,101305e+00;0,0091;  0;0,0000000
-3,752147e-02;0,0092;  0;0,0000000
-7,699947e-01;0,0093;  0;0,0000000
 5,563779e-01;0,0094;  0;0,0000000
 2,000710e-01;0,0095;  0;0,0000000
-2,275653e+00;0,0096;  0;0,0000000
-3,105593e-01;0,0097;  0;0,0000000
 8,221297e-01;0,0098;  0;0,0000000
-1,878135e+00;0,0099;  0;0,0000000
 8,015348e-01;0,0100;  0;0,0000000
-3,134161e-01;0,0101;  0;0,0000000
