Voltage (V);t (sec);freqs;amps
 0,3924689511;0,0001;180;0,3715838
 0,5441582588;0,0002;370;0,2193785
 2,7455166098;0,0003;850;0,1450925
 0,8089939111;0,0004;580;0,1615100
-0,5462420539;0,0005;  0;0,0000000
 1,0298386583;0,0006;  0;0,0000000
 1,7659699039;0,0007;  0;0,0000000
 1,3465781972;0,0008;  0;0,0000000
 1,5355774699;0,0009;  0;0,0000000
-0,1536626285;0,0010;  0;0,0000000
-0,3335737390;0,0011;  0;0,0000000
 1,6879437460;0,0012;  0;0,0000000
 0,0711302852;0,0013;  0;0,0000000
 0,8396928348;0,0014;  0;0,0000000
-0,5433590130;0,0015;  0;0,0000000
 1,0091109352;0,0016;  0;0,0000000
-0,2608079187;0,0017;  0;0,0000000
 2,0471186891;0,0018;  0;0,0000000
-0,0809941637;0,0019;  0;0,0000000
 0,5334387896;0,0020;  0;0,0000000
 0,4398181585;0,0021;  0;0,0000000
-1,2464065460;0,0022;  0;0,0000000
 1,2985017036;0,0023;  0;0,0000000
 1,1060010064;0,0024;  0;0,0000000
-0,5933325014;0,0025;  0;0,0000000
 0,0422924162;0,0026;  0;0,0000000
-0,2812103871;0,0027;  0;0,0000000
-1,9391512885;0,0028;  0;0,0000000
 0,2922710889;0,0029;  0;0,0000000
 0,9793557074;0,0030;  0;0,0000000
 0,0287774011;0,0031;  0;0,0000000
 0,3471812371;0,0032;  0;0,0000000
 0,9017993521;0,0033;  0;0,0000000
 0,6824173017;0,0034;  0;0,0000000
-2,1326224392;0,0035;  0;0,0000000
 0,4105449059;0,0036;  0;0,0000000
-0,3539429617;0,0037;  0;0,0000000
 0,6197678639;0,0038;  0;0,0000000
 0,3815946018;0,0039;  0;0,0000000
-1,6152422756;0,0040;  0;0,0000000
 0,9853178333;0,0041;  0;0,0000000
-1,4309396057;0,0042;  0;0,0000000
-1,6636000196;0,0043;  0;0,0000000
-1,0753092567;0,0044;  0;0,0000000
-1,4684257750;0,0045;  0;0,0000000
-1,2134248185;0,0046;  0;0,0000000
-0,8168746536;0,0047;  0;0,0000000
-0,7981848936;0,0048;  0;0,0000000
-0,1537454072;0,0049;  0;0,0000000
-1,3631423981;0,0050;  0;0,0000000
 0,4402442110;0,0051;  0;0,0000000
 0,7823587115;0,0052;  0;0,0000000
-0,4161363508;0,0053;  0;0,0000000
-0,8387764209;0,0054;  0;0,0000000
 0,7246228419;0,0055;  0;0,0000000
 0,2712312708;0,0056;  0;0,0000000
 0,8062114236;0,0057;  0;0,0000000
 0,0784982476;0,0058;  0;0,0000000
-0,3226268172;0,0059;  0;0,0000000
 0,1787869689;0,0060;  0;0,0000000
-0,4874948902;0,0061;  0;0,0000000
-0,4183533685;0,0062;  0;0,0000000
 1,1174419477;0,0063;  0;0,0000000
 0,0617796143;0,0064;  0;0,0000000
-0,4083071954;0,0065;  0;0,0000000
-1,3596601272;0,0066;  0;0,0000000
-0,6989674438;0,0067;  0;0,0000000
 0,6411637555;0,0068;  0;0,0000000
 0,7672682839;0,0069;  0;0,0000000
-0,2102080630;0,0070;  0;0,0000000
-0,8908125918;0,0071;  0;0,0000000
 1,1601871131;0,0072;  0;0,0000000
 1,0660290458;0,0073;  0;0,0000000
-0,0236210076;0,0074;  0;0,0000000
-0,5494667479;0,0075;  0;0,0000000
-1,4876251978;0,0076;  0;0,0000000
 0,0861602999;0,0077;  0;0,0000000
 1,9242324559;0,0078;  0;0,0000000
-0,0987569908;0,0079;  0;0,0000000
 1,1530469710;0,0080;  0;0,0000000
 0,7913062988;0,0081;  0;0,0000000
-0,2713287197;0,0082;  0;0,0000000
 1,1412829462;0,0083;  0;0,0000000
-0,7405900054;0,0084;  0;0,0000000
 0,3323997772;0,0085;  0;0,0000000
 0,0336983177;0,0086;  0;0,0000000
 0,5159852662;0,0087;  0;0,0000000
 0,2384345997;0,0088;  0;0,0000000
 1,4925255115;0,0089;  0;0,0000000
-1,3308937384;0,0090;  0;0,0000000
 0,5819073884;0,0091;  0;0,0000000
-0,4657169014;0,0092;  0;0,0000000
-0,0719804514;0,0093;  0;0,0000000
 0,4622193782;0,0094;  0;0,0000000
 0,0402216208;0,0095;  0;0,0000000
 0,2164910093;0,0096;  0;0,0000000
 3,2572723222;0,0097;  0;0,0000000
 0,9215680628;0,0098;  0;0,0000000
 0,6628382441;0,0099;  0;0,0000000
 0,2191685853;0,0100;  0;0,0000000
-0,5245976770;0,0101;  0;0,0000000
-0,5556912923;0,0102;  0;0,0000000
-1,6679466389;0,0103;  0;0,0000000
 0,8046269118;0,0104;  0;0,0000000
-0,7987992878;0,0105;  0;0,0000000
 0,4716938329;0,0106;  0;0,0000000
 0,5962776589;0,0107;  0;0,0000000
 0,0438000300;0,0108;  0;0,0000000
 0,7723222544;0,0109;  0;0,0000000
-0,2729505725;0,0110;  0;0,0000000
-0,1870176310;0,0111;  0;0,0000000
 1,2106920818;0,0112;  0;0,0000000
 0,0065378287;0,0113;  0;0,0000000
-1,3452560590;0,0114;  0;0,0000000
 1,4490471860;0,0115;  0;0,0000000
 0,3633187076;0,0116;  0;0,0000000
-0,3974557369;0,0117;  0;0,0000000
 0,0793895788;0,0118;  0;0,0000000
 0,4387280511;0,0119;  0;0,0000000
-0,1903241543;0,0120;  0;0,0000000
 1,9210368570;0,0121;  0;0,0000000
 0,8674829521;0,0122;  0;0,0000000
 0,6696680579;0,0123;  0;0,0000000
-0,3520599809;0,0124;  0;0,0000000
 0,6060956954;0,0125;  0;0,0000000
-1,4599388249;0,0126;  0;0,0000000
-0,1666148386;0,0127;  0;0,0000000
-0,6013022156;0,0128;  0;0,0000000
-1,3854746215;0,0129;  0;0,0000000
 0,7507028258;0,0130;  0;0,0000000
-0,8398272803;0,0131;  0;0,0000000
-1,0945407011;0,0132;  0;0,0000000
-1,2935145835;0,0133;  0;0,0000000
 0,0982339371;0,0134;  0;0,0000000
-1,5250407616;0,0135;  0;0,0000000
 1,8420992516;0,0136;  0;0,0000000
 1,2404220995;0,0137;  0;0,0000000
 0,7169250541;0,0138;  0;0,0000000
 0,8795764086;0,0139;  0;0,0000000
 1,2149228518;0,0140;  0;0,0000000
 0,6408488670;0,0141;  0;0,0000000
 1,5559836061;0,0142;  0;0,0000000
 0,2691401095;0,0143;  0;0,0000000
-0,9906084960;0,0144;  0;0,0000000
 0,3515102182;0,0145;  0;0,0000000
 0,6203124403;0,0146;  0;0,0000000
-0,8057397826;0,0147;  0;0,0000000
 0,5241049323;0,0148;  0;0,0000000
-1,2473295107;0,0149;  0;0,0000000
-0,7862140707;0,0150;  0;0,0000000
 0,6263918458;0,0151;  0;0,0000000
-0,8737906130;0,0152;  0;0,0000000
-0,7035850576;0,0153;  0;0,0000000
-1,4307657869;0,0154;  0;0,0000000
-0,8156986076;0,0155;  0;0,0000000
-1,3395777475;0,0156;  0;0,0000000
-0,7841515961;0,0157;  0;0,0000000
 1,3124942648;0,0158;  0;0,0000000
 1,1967762885;0,0159;  0;0,0000000
-0,0375822583;0,0160;  0;0,0000000
-1,0311724484;0,0161;  0;0,0000000
 0,4531827729;0,0162;  0;0,0000000
-0,6581986476;0,0163;  0;0,0000000
-0,4951445085;0,0164;  0;0,0000000
-1,0245608047;0,0165;  0;0,0000000
 1,2119833193;0,0166;  0;0,0000000
-0,5298641098;0,0167;  0;0,0000000
-0,7748483419;0,0168;  0;0,0000000
