Voltage (V);t (sec);freqs;amps
 7,344978e-02;0,0001;460;0,2670312
-1,492910e-01;0,0002;590;0,1552714
 2,225496e+00;0,0003;820;0,1639030
 5,847323e-01;0,0004;470;0,3294326
-4,428170e-01;0,0005;  0;0,0000000
 1,594139e+00;0,0006;  0;0,0000000
-1,198215e+00;0,0007;  0;0,0000000
-7,384492e-01;0,0008;  0;0,0000000
-6,856997e-01;0,0009;  0;0,0000000
-7,195196e-01;0,0010;  0;0,0000000
 3,676434e-03;0,0011;  0;0,0000000
-5,210326e-01;0,0012;  0;0,0000000
-7,466704e-01;0,0013;  0;0,0000000
 1,005119e+00;0,0014;  0;0,0000000
 4,264162e-01;0,0015;  0;0,0000000
-4,977754e-01;0,0016;  0;0,0000000
 7,046083e-01;0,0017;  0;0,0000000
 5,025951e-01;0,0018;  0;0,0000000
-3,691380e-01;0,0019;  0;0,0000000
-3,045305e-01;0,0020;  0;0,0000000
-3,714373e-01;0,0021;  0;0,0000000
 1,119929e-01;0,0022;  0;0,0000000
 1,300810e+00;0,0023;  0;0,0000000
 5,255171e-02;0,0024;  0;0,0000000
-1,146007e-01;0,0025;  0;0,0000000
 1,123141e+00;0,0026;  0;0,0000000
 6,621909e-01;0,0027;  0;0,0000000
 2,145612e-01;0,0028;  0;0,0000000
 2,187235e-01;0,0029;  0;0,0000000
 1,534499e+00;0,0030;  0;0,0000000
 2,175769e+00;0,0031;  0;0,0000000
 8,159566e-01;0,0032;  0;0,0000000
 2,325389e-01;0,0033;  0;0,0000000
 2,427770e-01;0,0034;  0;0,0000000
 1,822725e+00;0,0035;  0;0,0000000
-1,502763e+00;0,0036;  0;0,0000000
-1,045509e+00;0,0037;  0;0,0000000
 1,074358e-02;0,0038;  0;0,0000000
-5,222512e-01;0,0039;  0;0,0000000
 1,807244e+00;0,0040;  0;0,0000000
-1,341271e-01;0,0041;  0;0,0000000
-5,227649e-01;0,0042;  0;0,0000000
 2,126187e-01;0,0043;  0;0,0000000
 7,359042e-01;0,0044;  0;0,0000000
 1,724524e+00;0,0045;  0;0,0000000
 1,628245e+00;0,0046;  0;0,0000000
 9,452238e-01;0,0047;  0;0,0000000
 7,314000e-01;0,0048;  0;0,0000000
 9,599831e-01;0,0049;  0;0,0000000
 8,443161e-01;0,0050;  0;0,0000000
 5,839333e-01;0,0051;  0;0,0000000
 1,132409e-01;0,0052;  0;0,0000000
-6,122528e-01;0,0053;  0;0,0000000
-9,200333e-01;0,0054;  0;0,0000000
