"time","voltage"
0,0.61077
5e-05,0.8962311
1e-04,1.11526
0.00015,1.2777228
2e-04,1.4023654
0.00025,1.5546334
3e-04,1.7434062
0.00035,1.9186953
4e-04,1.9949938
0.00045,1.9071847
5e-04,1.5766679
0.00055,1.0511298
6e-04,0.5163837
0.00065,0.1658061
7e-04,0.0694466
0.00075,0.2167813
8e-04,0.5203302
0.00085,0.8373629
9e-04,0.9971948
0.00095,0.9001775
0.001,0.5663723
0.00105,0.1010183
0.0011,-0.416955
0.00115,-0.9375592
0.0012,-1.4173834
0.00125,-1.8005192
0.0013,-2.1379421
0.00135,-2.4648409
0.0014,-2.7233343
0.00145,-2.7874644
0.0015,-2.6779499
0.00155,-2.5220647
0.0016,-2.4457662
0.00165,-2.4941103
0.0017,-2.7213612
0.00175,-3.1613922
0.0018,-3.7119248
0.00185,-4.1348553
0.0019,-4.2703509
0.00195,-4.12466
0.002,-3.8336077
0.00205,-3.471519
0.0021,-3.0778587
0.00215,-2.7647722
0.0022,-2.6914337
0.00225,-2.8904016
0.0023,-3.2893236
0.00235,-3.8099289
0.0024,-4.3884163
0.00245,-4.8781085
0.0025,-5.091876
0.00255,-4.9271107
0.0026,-4.5064816
0.00265,-4.0546103
0.0027,-3.7770417
0.00275,-3.7908545
0.0028,-4.1065722
0.00285,-4.6067882
0.0029,-5.1491003
0.00295,-5.5996571
0.003,-5.9331355
0.00305,-6.160059
0.0031,-6.2916088
0.00315,-6.3021326
0.0032,-6.1945906
0.00325,-5.9584589
0.0033,-5.6220207
0.00335,-5.2563128
0.0034,-4.9504604
0.00345,-4.7320886
0.0035,-4.617312
0.00355,-4.5673232
0.0036,-4.5715985
0.00365,-4.6488838
0.0037,-4.8129916
0.00375,-4.9836769
0.0038,-5.0971384
0.00385,-5.1583085
0.0039,-5.2181635
0.00395,-5.25138
0.004,-5.2020488
0.00405,-5.0432029
0.0041,-4.8034544
0.00415,-4.4532042
0.0042,-3.9270077
0.00425,-3.1870444
0.0043,-2.2905385
0.00435,-1.3269436
0.0044,-0.3929473
0.00445,0.4157489
0.0045,0.9925906
0.00455,1.3152143
0.0046,1.4586027
0.00465,1.5572644
0.0047,1.6825649
0.00475,1.8703511
0.0048,2.1314759
0.00485,2.4606776
0.0049,2.7994168
0.00495,3.0654752
0.005,3.2266231
0.00505,3.2779274
0.0051,3.2203746
0.00515,3.0381787
0.0052,2.7698183
0.00525,2.4860008
0.0053,2.2594075
0.00535,2.1212809
0.0054,2.1068106
0.00545,2.2150097
0.0055,2.4008226
0.00555,2.5576952
0.0056,2.6007774
0.00565,2.4955382
0.0057,2.2820997
0.00575,2.0150549
0.0058,1.790435
0.00585,1.6963774
0.0059,1.7838576
0.00595,2.0186725
0.006,2.3360348
0.00605,2.6764183
0.0061,3.0138421
0.00615,3.3193655
0.0062,3.5778601
0.00625,3.8014944
0.0063,4.0307193
0.00635,4.2842813
0.0064,4.5766506
0.00645,4.9262447
0.0065,5.3610177
0.00655,5.8747215
0.0066,6.4272337
0.00665,6.9616585
0.0067,7.4283361
0.00675,7.783525
0.0068,8.0048599
0.00685,8.0936575
0.0069,8.0857649
0.00695,8.0170288
0.007,7.9160628
0.00705,7.7950354
0.0071,7.6667728
0.00715,7.5240397
0.0072,7.3540096
0.00725,7.1405683
0.0073,6.8932524
0.00735,6.6163378
0.0074,6.303576
0.00745,5.9243817
0.0075,5.478097
0.00755,4.9788647
0.0076,4.4556251
0.00765,3.9166002
0.0077,3.3920465
0.00775,2.9118915
0.0078,2.5034311
0.00785,2.1439731
0.0079,1.805892
0.00795,1.4710999
0.008,1.1458451
0.00805,0.8258524
0.0081,0.5223034
0.00815,0.2486819
0.0082,0.0398481
0.00825,-0.1018957
0.0083,-0.1880601
0.00835,-0.2413374
0.0084,-0.2512035
0.00845,-0.2123967
0.0085,-0.116366
0.00855,0.0365594
0.0086,0.2486819
0.00865,0.4887585
